Data	MSE	Diag	Hessian	OBQAware
bloom-560m/0.mlp.dense_4h_to_h	0.0002414292102912441	0.00022883072961121798	0.000232845195569098	0.00022302975412458181
bloom-560m/0.mlp.dense_h_to_4h	0.004655183758586645	0.005100330337882042	0.005048354156315327	0.004511215258389711
bloom-560m/0.self_attention.dense	7.613592606503516e-05	8.328198600793257e-05	8.356895705219358e-05	6.987831147853285e-05
bloom-560m/0.self_attention.query_key_value	0.0066535621881484985	0.006865700241178274	0.0069821737706661224	0.006357132922858
bloom-560m/1.mlp.dense_4h_to_h	0.0003095403080806136	0.0003082740877289325	0.00031561657669954	0.00030273740412667394
bloom-560m/1.mlp.dense_h_to_4h	0.0062511274591088295	0.0065324269235134125	0.006569355260580778	0.006055816076695919
bloom-560m/1.self_attention.dense	7.362061296589673e-05	8.166891348082572e-05	8.053288911469281e-05	7.038806506898254e-05
bloom-560m/1.self_attention.query_key_value	0.008571851067245007	0.008824256248772144	0.00901308748871088	0.00828016921877861
bloom-560m/10.mlp.dense_4h_to_h	0.0008115313830785453	0.0007176625658757985	0.0007463222136721015	0.0006960600148886442
bloom-560m/10.mlp.dense_h_to_4h	0.008707288652658463	0.008741918951272964	0.00875101238489151	0.008077050559222698
bloom-560m/10.self_attention.dense	0.0003061924362555146	0.0003058643778786063	0.0003115671861451119	0.00029727467335760593
bloom-560m/10.self_attention.query_key_value	0.1955934762954712	0.040285296738147736	0.04004162549972534	0.03231625631451607
bloom-560m/11.mlp.dense_4h_to_h	0.0006982798804529011	0.0006884535541757941	0.0007043254445306957	0.0006794142536818981
bloom-560m/11.mlp.dense_h_to_4h	0.00953979603946209	0.00918346457183361	0.0092216357588768	0.008496193215250969
bloom-560m/11.self_attention.dense	0.00029984215507283807	0.0003042379394173622	0.0003069271333515644	0.0002911804767791182
bloom-560m/11.self_attention.query_key_value	0.13020245730876923	0.0273935217410326	0.027484769001603127	0.022426282986998558
bloom-560m/12.mlp.dense_4h_to_h	0.000782655319198966	0.0007866187370382249	0.0008042668923735619	0.0007749303476884961
bloom-560m/12.mlp.dense_h_to_4h	0.011548930779099464	0.011423381976783276	0.01147550344467163	0.010641670785844326
bloom-560m/12.self_attention.dense	0.00029557710513472557	0.00029409254784695804	0.0002999361895490438	0.00028716580709442496
bloom-560m/12.self_attention.query_key_value	0.14920592308044434	0.03612484410405159	0.036307401955127716	0.028824398294091225
bloom-560m/13.mlp.dense_4h_to_h	0.0007545396219938993	0.0007578810327686369	0.0007736700354143977	0.0007473484147340059
bloom-560m/13.mlp.dense_h_to_4h	0.011360970325767994	0.011670665815472603	0.011728024110198021	0.010922684334218502
bloom-560m/13.self_attention.dense	0.000316777266561985	0.00031795125687494874	0.0003242770326323807	0.00030749273719266057
bloom-560m/13.self_attention.query_key_value	0.12830324470996857	0.03667900338768959	0.036984045058488846	0.03016265667974949
bloom-560m/14.mlp.dense_4h_to_h	0.0007918868213891983	0.0007925535901449621	0.0008119165431708097	0.0007830763352103531
bloom-560m/14.mlp.dense_h_to_4h	0.011389159597456455	0.011747702956199646	0.011815712787210941	0.011038889177143574
bloom-560m/14.self_attention.dense	0.00025403618928976357	0.0002519144909456372	0.00025663047563284636	0.00024514563847333193
bloom-560m/14.self_attention.query_key_value	0.13225363194942474	0.03913164883852005	0.039550162851810455	0.03199034929275513
bloom-560m/15.mlp.dense_4h_to_h	0.0008473030757158995	0.0008500947733409703	0.000871175026986748	0.0008375482866540551
bloom-560m/15.mlp.dense_h_to_4h	0.011663180775940418	0.012043658643960953	0.012098553590476513	0.01127209048718214
bloom-560m/15.self_attention.dense	0.0002804839750751853	0.00027936475817114115	0.00028241254040040076	0.00026752002304419875
bloom-560m/15.self_attention.query_key_value	0.11158081144094467	0.037487443536520004	0.03784642741084099	0.03094918094575405
bloom-560m/16.mlp.dense_4h_to_h	0.0009451528312638402	0.000952130532823503	0.0009756471845321357	0.0009327682782895863
bloom-560m/16.mlp.dense_h_to_4h	0.01208627037703991	0.012163558974862099	0.012225702404975891	0.011364204809069633
bloom-560m/16.self_attention.dense	0.00029203202575445175	0.0002917192759923637	0.00029599713161587715	0.0002824566327035427
bloom-560m/16.self_attention.query_key_value	0.12712357938289642	0.0394929014146328	0.039890777319669724	0.03342626616358757
bloom-560m/17.mlp.dense_4h_to_h	0.001126810908317566	0.001122281071729958	0.001151943113654852	0.0011100714327767491
bloom-560m/17.mlp.dense_h_to_4h	0.011672676540911198	0.012159072794020176	0.012211568653583527	0.01131898071616888
bloom-560m/17.self_attention.dense	0.0002940259000752121	0.00029820698546245694	0.0003049539227504283	0.0002837358333636075
bloom-560m/17.self_attention.query_key_value	0.07999756187200546	0.03130987659096718	0.03153122961521149	0.02644919790327549
bloom-560m/18.mlp.dense_4h_to_h	0.0013478444889187813	0.0013497343752533197	0.0013955025933682919	0.0013280758867040277
bloom-560m/18.mlp.dense_h_to_4h	0.01217606384307146	0.012629380449652672	0.012659152038395405	0.011746279895305634
bloom-560m/18.self_attention.dense	0.0004017723840661347	0.0004138444783166051	0.00041939213406294584	0.0003851617802865803
bloom-560m/18.self_attention.query_key_value	0.10017100721597672	0.03100491315126419	0.03137983754277229	0.02753203921020031
bloom-560m/19.mlp.dense_4h_to_h	0.0016422682674601674	0.0016654905630275607	0.0017289709066972136	0.001613553729839623
bloom-560m/19.mlp.dense_h_to_4h	0.012608937919139862	0.013142994605004787	0.013227064162492752	0.012185424566268921
bloom-560m/19.self_attention.dense	0.0004949178546667099	0.0005127083859406412	0.0005126036121509969	0.00048346450785174966
bloom-560m/19.self_attention.query_key_value	0.14163975417613983	0.034837108105421066	0.0349581278860569	0.030279045924544334
bloom-560m/2.mlp.dense_4h_to_h	0.0005139182321727276	0.0005131070502102375	0.0005267896340228617	0.0005065820878371596
bloom-560m/2.mlp.dense_h_to_4h	0.00950334407389164	0.009832380339503288	0.009970268234610558	0.00919716153293848
bloom-560m/2.self_attention.dense	7.322985038626939e-05	7.487417315132916e-05	7.824040949344635e-05	6.938113801879808e-05
bloom-560m/2.self_attention.query_key_value	0.009953562170267105	0.010064535774290562	0.010283371433615685	0.009622666984796524
bloom-560m/20.mlp.dense_4h_to_h	0.002512276405468583	0.0026950566098093987	0.002673007780686021	0.0023853080347180367
bloom-560m/20.mlp.dense_h_to_4h	0.012877138331532478	0.013572590425610542	0.013676569797098637	0.012445203959941864
bloom-560m/20.self_attention.dense	0.0008988970657810569	0.0010072141885757446	0.0009706041309982538	0.0008352489676326513
bloom-560m/20.self_attention.query_key_value	0.18297666311264038	0.0379488468170166	0.0380450077354908	0.0329761803150177
