Data	Scaling	Damp0.001	Damp0.003	Damp0.01	Damp0.03	Damp0.1	Damp0.3	Damp1.0
bloom-560m/0.mlp.dense_4h_to_h	mse	0.00024106065393425524	0.00022974424064159393	0.0002414270129520446	0.0002603576867841184	0.00028930441476404667	0.00032778881723061204	0.00039978581480681896
bloom-560m/0.mlp.dense_h_to_4h	mse	0.004657461307942867	0.004656632896512747	0.004655183758586645	0.004655724391341209	0.004692990332841873	0.004845213610678911	0.005308959167450666
bloom-560m/0.self_attention.dense	mse	7.595060742460191e-05	7.595893112011254e-05	7.613675552420318e-05	7.721751171629876e-05	8.108538168016821e-05	8.970378257799894e-05	0.00010772049427032471
bloom-560m/0.self_attention.query_key_value	mse	0.00723276287317276	0.006863899528980255	0.0066536664962768555	0.006571195553988218	0.0065901018679142	0.006767004728317261	0.0072908238507807255
bloom-560m/1.mlp.dense_4h_to_h	mse	0.0003079259186051786	0.0003022722958121449	0.00030953786335885525	0.0003225724503863603	0.0003446746850386262	0.0003798425605054945	0.00044846758828498423
bloom-560m/1.mlp.dense_h_to_4h	mse	0.006252173334360123	0.006252308376133442	0.00625112559646368	0.006249664817005396	0.006305490154772997	0.006524045020341873	0.007162653375416994
bloom-560m/1.self_attention.dense	mse	7.3406015872024e-05	7.337563147302717e-05	7.361912139458582e-05	7.453571743099019e-05	7.914401066955179e-05	8.793592132860795e-05	0.00010763948375824839
bloom-560m/1.self_attention.query_key_value	mse	0.00859514344483614	0.008590291254222393	0.008571851998567581	0.008565844036638737	0.008650372736155987	0.008962726220488548	0.009857290424406528
bloom-560m/10.mlp.dense_4h_to_h	mse	0.0007933602901175618	0.00080299680121243	0.0008115405216813087	0.0008092287462204695	0.0008024094859138131	0.0008154843235388398	0.0008872206672094762
bloom-560m/10.mlp.dense_h_to_4h	mse	0.008891813457012177	0.00879676453769207	0.008707288652658463	0.008642742410302162	0.008760649710893631	0.009220294654369354	0.010378427803516388
bloom-560m/10.self_attention.dense	mse	0.0003061231109313667	0.0003060115850530565	0.0003061936586163938	0.00030644264188595116	0.0003084724012296647	0.00031752645736560225	0.00034424394834786654
bloom-560m/10.self_attention.query_key_value	mse	0.21851606667041779	0.20834125578403473	0.19559375941753387	0.17312286794185638	0.1504092514514923	0.15088872611522675	0.18360412120819092
bloom-560m/11.mlp.dense_4h_to_h	mse	0.0006794699002057314	0.0006866122130304575	0.0006982902996242046	0.0007041605422273278	0.0007103250827640295	0.0007338634459301829	0.0008016607025638223
