Data	Scaling	Diag	DiagErr	DiagSqErr
bloom-560m/22.mlp.dense_4h_to_h	mse	0.0089976005256176	0.008935272693634033	0.008654370903968811
bloom-560m/22.mlp.dense_h_to_4h	mse	0.012673573568463326	0.012670005671679974	0.012634886428713799
bloom-560m/22.self_attention.dense	mse	0.003948965109884739	0.004034898243844509	0.004050350748002529
bloom-560m/22.self_attention.query_key_value	mse	0.055623892694711685	0.05798560008406639	0.05325775220990181
bloom-560m/23.mlp.dense_4h_to_h	mse	0.0056421211920678616	0.005393069237470627	0.004305402748286724
bloom-560m/23.mlp.dense_h_to_4h	mse	0.01048830896615982	0.010455205105245113	0.01044866256415844
bloom-560m/23.self_attention.dense	mse	0.0009658996132202446	0.0009759999811649323	0.0009924316545948386
bloom-560m/23.self_attention.query_key_value	mse	0.010019268840551376	0.009987040422856808	0.009944521822035313
bloom-560m/3.mlp.dense_4h_to_h	mse	0.0008697239100001752	0.0008559926645830274	0.0008232296095229685
bloom-560m/3.mlp.dense_h_to_4h	mse	0.010309182107448578	0.01030450128018856	0.010283082723617554
bloom-560m/3.self_attention.dense	mse	0.0001817382435547188	0.00017993182700593024	0.0001749725779518485
bloom-560m/3.self_attention.query_key_value	mse	0.010366585105657578	0.01033105980604887	0.010298986919224262
bloom-560m/4.mlp.dense_4h_to_h	mse	0.047197211533784866	0.040635187178850174	0.030364613980054855
bloom-560m/4.mlp.dense_h_to_4h	mse	0.00954379141330719	0.009536933153867722	0.009513882920145988
bloom-560m/4.self_attention.dense	mse	0.0001817890879465267	0.00018220154743175954	0.00018098052532877773
bloom-560m/4.self_attention.query_key_value	mse	0.010467246174812317	0.01044851541519165	0.010386557318270206
bloom-560m/5.mlp.dense_4h_to_h	mse	0.001544818514958024	0.001518039032816887	0.0012143049389123917
bloom-560m/5.mlp.dense_h_to_4h	mse	0.007788734044879675	0.007794471457600594	0.007763011381030083
bloom-560m/5.self_attention.dense	mse	0.00019222780247218907	0.00019071312271989882	0.00018944634939543903
bloom-560m/5.self_attention.query_key_value	mse	0.01193161215633154	0.011843492276966572	0.0117343096062541
bloom-560m/6.mlp.dense_4h_to_h	mse	0.0013622260885313153	0.0012687460985034704	0.0009679100476205349
bloom-560m/6.mlp.dense_h_to_4h	mse	0.009319262579083443	0.00930395070463419	0.009288824163377285
bloom-560m/6.self_attention.dense	mse	0.00027307914569973946	0.0002727907267399132	0.0002725068770814687
bloom-560m/6.self_attention.query_key_value	mse	0.01907682605087757	0.01908477395772934	0.018961051478981972
bloom-560m/7.mlp.dense_4h_to_h	mse	0.0007886981475166976	0.0007686129538342357	0.0007456252351403236
bloom-560m/7.mlp.dense_h_to_4h	mse	0.005380252841860056	0.005385010968893766	0.005409181118011475
bloom-560m/7.self_attention.dense	mse	0.0002165037440136075	0.00021583086345344782	0.00021162113989703357
bloom-560m/7.self_attention.query_key_value	mse	0.01919531263411045	0.019159430637955666	0.018931305035948753
bloom-560m/8.mlp.dense_4h_to_h	mse	0.0005045583820901811	0.0004837906744796783	0.0004654254298657179
bloom-560m/8.mlp.dense_h_to_4h	mse	0.0038628624752163887	0.0038614869117736816	0.003883600002154708
bloom-560m/8.self_attention.dense	mse	0.00024923941236920655	0.0002456847869325429	0.0002438202645862475
bloom-560m/8.self_attention.query_key_value	mse	0.04798309877514839	0.04797901585698128	0.04802529141306877
bloom-560m/9.mlp.dense_4h_to_h	mse	0.00047169456956908107	0.00045044487342238426	0.00043578812619671226
bloom-560m/9.mlp.dense_h_to_4h	mse	0.003741103457286954	0.003737041028216481	0.003765141824260354
bloom-560m/9.self_attention.dense	mse	0.0002565309696365148	0.00025585759431123734	0.00025553989689797163
bloom-560m/9.self_attention.query_key_value	mse	0.10060598701238632	0.10037917643785477	0.09970373660326004
opt-125m/0.fc1	mse	0.00027109449729323387	0.00026927722501568496	0.00025864734197966754
opt-125m/0.fc2	mse	0.007265652064234018	0.007266942877322435	0.007216781377792358
opt-125m/0.self_attn.k_proj	mse	0.08378729224205017	0.08163084089756012	0.08142726868391037
opt-125m/0.self_attn.out_proj	mse	1.0495318747416604e-05	1.0661759915819857e-05	1.043895917973714e-05
opt-125m/0.self_attn.q_proj	mse	0.05519254878163338	0.05389406159520149	0.053617242723703384
