Data	MSE	Diag	Hessian	OBQAware
opt-350m/5.fc2	0.002715445589274168	0.002747585065662861	0.0028106067329645157	0.0026777535676956177
opt-350m/5.self_attn.k_proj	0.06658560037612915	0.04419460892677307	0.05102532356977463	0.03867843374609947
opt-350m/5.self_attn.out_proj	0.0005449645104818046	0.0005481555708684027	0.0005617153365164995	0.0005230584647506475
opt-350m/5.self_attn.q_proj	0.07147257775068283	0.0467367023229599	0.0494019016623497	0.039836905896663666
opt-350m/5.self_attn.v_proj	0.02539123222231865	0.0293752271682024	0.02799241989850998	0.023958193138241768
opt-350m/6.fc1	0.04285994917154312	0.04819098487496376	0.044965751469135284	0.04013015329837799
opt-350m/6.fc2	0.0032244971953332424	0.0032575963996350765	0.0033516823314130306	0.0031686166767030954
opt-350m/6.self_attn.k_proj	0.10389592498540878	0.053752973675727844	0.0782504677772522	0.0478360652923584
opt-350m/6.self_attn.out_proj	0.00085854297503829	0.0008702523191459477	0.000885434215888381	0.0008396109333261847
opt-350m/6.self_attn.q_proj	0.085687056183815	0.05401269346475601	0.05773545056581497	0.04541487619280815
opt-350m/6.self_attn.v_proj	0.02266114391386509	0.02549673803150654	0.024929489940404892	0.021552279591560364
opt-350m/7.fc1	0.04693214222788811	0.052053820341825485	0.04903257265686989	0.0444033183157444
opt-350m/7.fc2	0.004012623336166143	0.004072743002325296	0.004173740744590759	0.003953828942030668
opt-350m/7.self_attn.k_proj	0.10402941703796387	0.06085420027375221	0.08659210801124573	0.05406311899423599
opt-350m/7.self_attn.out_proj	0.0012605966767296195	0.0012649402488023043	0.0012970890384167433	0.0012323325499892235
opt-350m/7.self_attn.q_proj	0.07705608755350113	0.06084892898797989	0.06526550650596619	0.05186363309621811
opt-350m/7.self_attn.v_proj	0.025812290608882904	0.028588473796844482	0.02836606651544571	0.024777885526418686
opt-350m/8.fc1	0.04784206673502922	0.05192200094461441	0.049649693071842194	0.04545511305332184
opt-350m/8.fc2	0.005120591726154089	0.005134379491209984	0.0053490400314331055	0.005061259027570486
opt-350m/8.self_attn.k_proj	0.09374736249446869	0.0730355754494667	0.10434617102146149	0.06693097949028015
opt-350m/8.self_attn.out_proj	0.0017940711695700884	0.0017933030612766743	0.0018400363624095917	0.0017579388804733753
opt-350m/8.self_attn.q_proj	0.0817611813545227	0.07265271991491318	0.07517358660697937	0.06389518082141876
opt-350m/8.self_attn.v_proj	0.028073638677597046	0.0304626002907753	0.030723299831151962	0.027083130553364754
opt-350m/9.fc1	0.04848753660917282	0.05118314176797867	0.05006645619869232	0.04615579545497894
opt-350m/9.fc2	0.005253209732472897	0.00528360903263092	0.00551168667152524	0.005173292011022568
opt-350m/9.self_attn.k_proj	0.08568880707025528	0.07828523963689804	0.09867081046104431	0.07172545045614243
opt-350m/9.self_attn.out_proj	0.002000235952436924	0.0020215301774442196	0.0020810728892683983	0.0019265830051153898
opt-350m/9.self_attn.q_proj	0.07755734026432037	0.08269074559211731	0.08019043505191803	0.07314033806324005
opt-350m/9.self_attn.v_proj	0.030885161831974983	0.033371709287166595	0.03316531330347061	0.029816485941410065
