Data	Standard1-bit	Standard1.5-bit	Standard2-bit	Standard2.3-bit	Standard2.8-bit	Standard3-bit	Standard3.2-bit	Standard3.9-bit	Standard4-bit	Standard5-bit	SleekitLight1-bit	SleekitLight1.5-bit	SleekitLight2-bit	SleekitLight2.3-bit	SleekitLight2.8-bit	SleekitLight3-bit	SleekitLight3.2-bit	SleekitLight3.9-bit	SleekitLight4-bit	SleekitLight5-bit
bloom-560m/20.mlp.dense_4h_to_h	0.025676609948277473	0.010714655742049217	0.006821528077125549	0.004825464449822903	0.0030203177593648434	0.002512276405468583	0.0021466705948114395	0.0010838501621037722	0.0009902964811772108	0.0003830187488347292	0.018510989844799042	0.00973031297326088	0.006177989766001701	0.004595230333507061	0.002918049693107605	0.002392275258898735	0.002064711647108197	0.0010144379921257496	0.0009260810329578817	0.00032408174593001604
bloom-560m/20.mlp.dense_h_to_4h	0.16413109004497528	0.07079662382602692	0.04212437942624092	0.028537027537822723	0.016121432185173035	0.012877138331532478	0.01055518165230751	0.004485055338591337	0.004014244303107262	0.0012220337521284819	0.14386267960071564	0.06812919676303864	0.041357751935720444	0.02839057147502899	0.01619402877986431	0.01295057125389576	0.010661845095455647	0.004536652006208897	0.00406977254897356	0.0012276306515559554
bloom-560m/20.self_attention.dense	0.012414848431944847	0.004473676905035973	0.002684745006263256	0.0018430894706398249	0.0011010344605892897	0.0008988970657810569	0.0007551877060905099	0.00034290028270334005	0.0003129375400021672	0.0001009773404803127	0.008886784315109253	0.003972858190536499	0.00247371313162148	0.0017965197330340743	0.0010903355432674289	0.0008909872267395258	0.0007544531254097819	0.0003485249762888998	0.000315600773319602	0.00010208413004875183
bloom-560m/20.self_attention.query_key_value	0.7562564015388489	0.4659750163555145	0.35412564873695374	0.2874337136745453	0.20744472742080688	0.18297666311264038	0.1566256582736969	0.05623060464859009	0.04653361439704895	0.005933592561632395	0.45837417244911194	0.17574109137058258	0.11238738894462585	0.079001285135746	0.0450504906475544	0.036641109734773636	0.02933117188513279	0.011734001338481903	0.010540556162595749	0.0028680888935923576
bloom-560m/21.mlp.dense_4h_to_h	0.21410620212554932	0.025880509987473488	0.018368028104305267	0.01124027743935585	0.007388550788164139	0.006937741301953793	0.005603894591331482	0.003191770985722542	0.003041275078430772	0.0012258891947567463	0.035484641790390015	0.023169802501797676	0.013287225738167763	0.013386471197009087	0.007914062589406967	0.00599278649315238	0.005910198204219341	0.0029853624291718006	0.0026568942703306675	0.0009826153982430696
bloom-560m/21.mlp.dense_h_to_4h	0.16638818383216858	0.07193716615438461	0.04244152456521988	0.02896346151828766	0.016494479030370712	0.013055563904345036	0.010905872099101543	0.004739251919090748	0.004182678181678057	0.0013460236368700862	0.14609533548355103	0.06835627555847168	0.041705526411533356	0.028676442801952362	0.016450468450784683	0.013207005336880684	0.01091053057461977	0.004716330673545599	0.004233600106090307	0.0013237306848168373
bloom-560m/21.self_attention.dense	0.26251834630966187	0.016748297959566116	0.017967741936445236	0.005059507675468922	0.002898253733292222	0.003178353887051344	0.0019135692855343223	0.0008532890351489186	0.0008226381614804268	0.0002321986248716712	0.033988215029239655	0.009633325040340424	0.008906960487365723	0.004461437463760376	0.002663008403033018	0.0025931973941624165	0.001827334170229733	0.0008226532372646034	0.0007758042775094509	0.00022749678464606404
bloom-560m/21.self_attention.query_key_value	0.9429238438606262	0.5451880097389221	0.40740683674812317	0.3312758505344391	0.24245937168598175	0.21195600926876068	0.18693186342716217	0.07220765948295593	0.06027780845761299	0.006862587761133909	0.504038393497467	0.18854276835918427	0.12687014043331146	0.08899512141942978	0.05138610675930977	0.04126268997788429	0.03332589566707611	0.013257541693747044	0.01186214666813612	0.003230097470805049
bloom-560m/22.mlp.dense_4h_to_h	0.04548906162381172	0.021544676274061203	0.01953265815973282	0.012535830959677696	0.008642876520752907	0.0089976005256176	0.0066745951771736145	0.0035263500176370144	0.0037794189993292093	0.0013300982536748052	0.03705989569425583	0.02223656326532364	0.015600708313286304	0.011834830045700073	0.007882297970354557	0.007135564927011728	0.005916401278227568	0.0029464501421898603	0.00291907018981874	0.0010441860649734735
bloom-560m/22.mlp.dense_h_to_4h	0.2134031355381012	0.08813846111297607	0.04850757494568825	0.028474625200033188	0.015784136950969696	0.012673573568463326	0.010468248277902603	0.00457179918885231	0.00412456039339304	0.0013313393574208021	0.13910314440727234	0.06518720090389252	0.040208663791418076	0.027819044888019562	0.016185525804758072	0.01297418586909771	0.010884331539273262	0.0047623710706830025	0.004271732643246651	0.0013515797909349203
