Data	Scaling	Diag	DiagErr	DiagSqErr
bloom-560m/0.mlp.dense_4h_to_h	mse	0.0010199141688644886	0.0010172263719141483	0.000920511782169342
bloom-560m/0.mlp.dense_h_to_4h	mse	0.015834152698516846	0.0158240906894207	0.015875477343797684
bloom-560m/0.self_attention.dense	mse	0.000334533688146621	0.000351284455973655	0.0003781009290833026
bloom-560m/0.self_attention.query_key_value	mse	0.022651707753539085	0.022569632157683372	0.02220626175403595
bloom-560m/1.mlp.dense_4h_to_h	mse	0.0009493031539022923	0.0009327467996627092	0.0009049626532942057
bloom-560m/1.mlp.dense_h_to_4h	mse	0.02090967819094658	0.02089831791818142	0.0208949763327837
bloom-560m/1.self_attention.dense	mse	0.0002509109617676586	0.00024995801504701376	0.00024896080140024424
bloom-560m/1.self_attention.query_key_value	mse	0.02875288389623165	0.028578290715813637	0.028332481160759926
bloom-560m/10.mlp.dense_4h_to_h	mse	0.002088653389364481	0.0020300643518567085	0.0019578307401388884
bloom-560m/10.mlp.dense_h_to_4h	mse	0.02856285497546196	0.028692731633782387	0.02877158671617508
bloom-560m/10.self_attention.dense	mse	0.0009365393198095262	0.0009223651723004878	0.0009109145030379295
bloom-560m/10.self_attention.query_key_value	mse	0.5960080623626709	0.5989999175071716	0.6087087392807007
bloom-560m/11.mlp.dense_4h_to_h	mse	0.001985664013773203	0.0019374467665329576	0.0018837903626263142
bloom-560m/11.mlp.dense_h_to_4h	mse	0.030052121728658676	0.030058737844228745	0.02992527186870575
bloom-560m/11.self_attention.dense	mse	0.0009160636109299958	0.0009141421178355813	0.0009109621169045568
bloom-560m/11.self_attention.query_key_value	mse	0.2785121202468872	0.2787640690803528	0.27799341082572937
bloom-560m/12.mlp.dense_4h_to_h	mse	0.0022625792771577835	0.0022208672016859055	0.00217283982783556
bloom-560m/12.mlp.dense_h_to_4h	mse	0.036693766713142395	0.036572039127349854	0.03650616109371185
bloom-560m/12.self_attention.dense	mse	0.0009053739486262202	0.000898997881449759	0.0008941036649048328
bloom-560m/12.self_attention.query_key_value	mse	0.32957565784454346	0.32487019896507263	0.32671937346458435
bloom-560m/13.mlp.dense_4h_to_h	mse	0.002213655970990658	0.002178271533921361	0.002127776388078928
bloom-560m/13.mlp.dense_h_to_4h	mse	0.037101611495018005	0.03708841651678085	0.03708091378211975
bloom-560m/13.self_attention.dense	mse	0.0009575271978974342	0.0009514634730294347	0.0009439095738343894
bloom-560m/13.self_attention.query_key_value	mse	0.25758132338523865	0.2551962435245514	0.2473248392343521
bloom-560m/14.mlp.dense_4h_to_h	mse	0.002317927312105894	0.0022784960456192493	0.0022348174825310707
bloom-560m/14.mlp.dense_h_to_4h	mse	0.03732641041278839	0.037266120314598083	0.03722343593835831
bloom-560m/14.self_attention.dense	mse	0.0007888915133662522	0.0007892677676863968	0.0007892537978477776
bloom-560m/14.self_attention.query_key_value	mse	0.25517669320106506	0.2563244700431824	0.23858098685741425
bloom-560m/15.mlp.dense_4h_to_h	mse	0.002470885869115591	0.0024372737389057875	0.0023986788000911474
bloom-560m/15.mlp.dense_h_to_4h	mse	0.038118720054626465	0.03808991611003876	0.03805812448263168
bloom-560m/15.self_attention.dense	mse	0.0008385280962102115	0.0008386538247577846	0.0008352178847417235
bloom-560m/15.self_attention.query_key_value	mse	0.2299180030822754	0.2282075434923172	0.23018121719360352
bloom-560m/16.mlp.dense_4h_to_h	mse	0.0027578393928706646	0.0027214200235903263	0.0026794527657330036
bloom-560m/16.mlp.dense_h_to_4h	mse	0.038773730397224426	0.03875543922185898	0.03862167149782181
bloom-560m/16.self_attention.dense	mse	0.0008917556842789054	0.0008904770947992802	0.0008870288147591054
bloom-560m/16.self_attention.query_key_value	mse	0.2511124610900879	0.25024256110191345	0.24628746509552002
bloom-560m/17.mlp.dense_4h_to_h	mse	0.003213693853467703	0.003171151503920555	0.003112644888460636
bloom-560m/17.mlp.dense_h_to_4h	mse	0.03819442540407181	0.038176823407411575	0.03817342221736908
bloom-560m/17.self_attention.dense	mse	0.0009093243861570954	0.0009045879705809057	0.0008964376756921411
bloom-560m/17.self_attention.query_key_value	mse	0.1803562045097351	0.1803438663482666	0.1821994036436081
bloom-560m/18.mlp.dense_4h_to_h	mse	0.003782975487411022	0.0037364528980106115	0.00366819160990417
bloom-560m/18.mlp.dense_h_to_4h	mse	0.039655208587646484	0.03962215036153793	0.039583124220371246
bloom-560m/18.self_attention.dense	mse	0.0012098209699615836	0.001208887668326497	0.0011995895765721798
bloom-560m/18.self_attention.query_key_value	mse	0.23965154588222504	0.24011898040771484	0.24373789131641388
bloom-560m/19.mlp.dense_4h_to_h	mse	0.00454694963991642	0.0044917091727256775	0.0044093383476138115
bloom-560m/19.mlp.dense_h_to_4h	mse	0.04104405641555786	0.04100829362869263	0.04100474342703819
bloom-560m/19.self_attention.dense	mse	0.0015016066608950496	0.0014891894534230232	0.001474602846428752
bloom-560m/19.self_attention.query_key_value	mse	0.2895565330982208	0.29188475012779236	0.28431007266044617
bloom-560m/2.mlp.dense_4h_to_h	mse	0.0015102368779480457	0.0014909785240888596	0.0014568660408258438
bloom-560m/2.mlp.dense_h_to_4h	mse	0.03217441961169243	0.032162148505449295	0.032063134014606476
bloom-560m/2.self_attention.dense	mse	0.00026019307551905513	0.0002591116644907743	0.00025789494975470006
bloom-560m/2.self_attention.query_key_value	mse	0.033284056931734085	0.03321462124586105	0.03314218297600746
bloom-560m/20.mlp.dense_4h_to_h	mse	0.006821528077125549	0.00674174539744854	0.006558437831699848
bloom-560m/20.mlp.dense_h_to_4h	mse	0.04212437942624092	0.04221883788704872	0.04213245213031769
bloom-560m/20.self_attention.dense	mse	0.002684745006263256	0.002642132341861725	0.0025796734262257814
bloom-560m/20.self_attention.query_key_value	mse	0.35412564873695374	0.357332706451416	0.35074207186698914
bloom-560m/21.mlp.dense_4h_to_h	mse	0.018368028104305267	0.01827225647866726	0.018294254317879677
bloom-560m/21.mlp.dense_h_to_4h	mse	0.04244152456521988	0.042405568063259125	0.04237230867147446
bloom-560m/21.self_attention.dense	mse	0.017967741936445236	0.017742471769452095	0.01814551092684269
bloom-560m/21.self_attention.query_key_value	mse	0.40740683674812317	0.4058469235897064	0.3673248589038849
bloom-560m/22.mlp.dense_4h_to_h	mse	0.01953265815973282	0.01923413947224617	0.018839500844478607
bloom-560m/22.mlp.dense_h_to_4h	mse	0.04850757494568825	0.04863237962126732	0.05152546614408493
bloom-560m/22.self_attention.dense	mse	0.036987513303756714	0.03984341025352478	0.03918709605932236
bloom-560m/22.self_attention.query_key_value	mse	0.4179832935333252	0.403863787651062	0.3767119348049164
bloom-560m/23.mlp.dense_4h_to_h	mse	0.012611736543476582	0.012074606493115425	0.009807130321860313
bloom-560m/23.mlp.dense_h_to_4h	mse	0.10675075650215149	0.10562007129192352	0.11196409165859222
bloom-560m/23.self_attention.dense	mse	0.003782254410907626	0.003794962540268898	0.0038733009714633226
bloom-560m/23.self_attention.query_key_value	mse	0.03514992818236351	0.035022784024477005	0.03427165374159813
bloom-560m/3.mlp.dense_4h_to_h	mse	0.0021898287814110518	0.0021515418775379658	0.002096609678119421
bloom-560m/3.mlp.dense_h_to_4h	mse	0.03467956930398941	0.034642353653907776	0.03462260216474533
bloom-560m/3.self_attention.dense	mse	0.0007205157307907939	0.000718525261618197	0.0007096645422279835
bloom-560m/3.self_attention.query_key_value	mse	0.034508589655160904	0.0344800241291523	0.034375958144664764
bloom-560m/4.mlp.dense_4h_to_h	mse	0.05996173620223999	0.057131994515657425	0.053332943469285965
bloom-560m/4.mlp.dense_h_to_4h	mse	0.031725428998470306	0.031766053289175034	0.031758375465869904
bloom-560m/4.self_attention.dense	mse	0.0006233520107343793	0.0006309152813628316	0.0006212759763002396
bloom-560m/4.self_attention.query_key_value	mse	0.03545708581805229	0.03540576621890068	0.0350697822868824
bloom-560m/5.mlp.dense_4h_to_h	mse	0.002778640715405345	0.002726844744756818	0.002519408706575632
bloom-560m/5.mlp.dense_h_to_4h	mse	0.02582329511642456	0.02581995539367199	0.025804847478866577
bloom-560m/5.self_attention.dense	mse	0.0007400190224871039	0.0007334223482757807	0.0007147572468966246
bloom-560m/5.self_attention.query_key_value	mse	0.04267344996333122	0.042314935475587845	0.0415087565779686
bloom-560m/6.mlp.dense_4h_to_h	mse	0.002619723090901971	0.00249091861769557	0.002173404674977064
bloom-560m/6.mlp.dense_h_to_4h	mse	0.03083765134215355	0.030795173719525337	0.030821889638900757
bloom-560m/6.self_attention.dense	mse	0.0008498675306327641	0.0008475964423269033	0.0008445263374596834
bloom-560m/6.self_attention.query_key_value	mse	0.0676344707608223	0.06761160492897034	0.06726210564374924
bloom-560m/7.mlp.dense_4h_to_h	mse	0.0018058198038488626	0.0017558853141963482	0.0017132108332589269
bloom-560m/7.mlp.dense_h_to_4h	mse	0.017809361219406128	0.017837021499872208	0.017921168357133865
bloom-560m/7.self_attention.dense	mse	0.0006970935501158237	0.0006889302749186754	0.0006638505728915334
bloom-560m/7.self_attention.query_key_value	mse	0.06729792058467865	0.06705988198518753	0.06670190393924713
bloom-560m/8.mlp.dense_4h_to_h	mse	0.0015455319080501795	0.0015014598611742258	0.001465601148083806
bloom-560m/8.mlp.dense_h_to_4h	mse	0.012732678093016148	0.01273418590426445	0.012827109545469284
bloom-560m/8.self_attention.dense	mse	0.0007387683144770563	0.0007237503887154162	0.0007164154667407274
bloom-560m/8.self_attention.query_key_value	mse	0.14197920262813568	0.14246056973934174	0.14268766343593597
bloom-560m/9.mlp.dense_4h_to_h	mse	0.0014779239427298307	0.001423572888597846	0.0013936284231022
bloom-560m/9.mlp.dense_h_to_4h	mse	0.011500714346766472	0.011531786061823368	0.011591470800340176
bloom-560m/9.self_attention.dense	mse	0.0007775633130222559	0.0007751500816084445	0.000768166733905673
bloom-560m/9.self_attention.query_key_value	mse	0.2373691350221634	0.23832659423351288	0.2371702939271927
opt-125m/0.fc1	mse	0.0008851264719851315	0.0008896805811673403	0.0008633040706627071
opt-125m/0.fc2	mse	0.010809611529111862	0.010807503014802933	0.010768485255539417
opt-125m/0.self_attn.k_proj	mse	0.2856523096561432	0.2769716680049896	0.27522388100624084
opt-125m/0.self_attn.out_proj	mse	5.7621411542641e-05	6.517764995805919e-05	6.261601083679125e-05
opt-125m/0.self_attn.q_proj	mse	0.16128258407115936	0.15782718360424042	0.15835849940776825
opt-125m/0.self_attn.v_proj	mse	0.0014851870946586132	0.0014701468171551824	0.001444043591618538
opt-125m/1.fc1	mse	0.0024224852677434683	0.0024167767260223627	0.0024035789538174868
opt-125m/1.fc2	mse	0.0012632556026801467	0.0012644564267247915	0.0012568129459396005
opt-125m/1.self_attn.k_proj	mse	0.19242948293685913	0.2043423056602478	0.19802682101726532
opt-125m/1.self_attn.out_proj	mse	2.942756145785097e-05	2.978819793497678e-05	3.194854798493907e-05
opt-125m/1.self_attn.q_proj	mse	0.10010635852813721	0.09134060889482498	0.09650180488824844
opt-125m/1.self_attn.v_proj	mse	0.0011910219909623265	0.001197095843963325	0.001189713948406279
opt-125m/10.fc1	mse	0.007891391403973103	0.007889828644692898	0.0076571255922317505
opt-125m/10.fc2	mse	0.0010990760056301951	0.0010777941206470132	0.0010465786326676607
opt-125m/10.self_attn.k_proj	mse	0.5386898517608643	0.5367359519004822	0.5386121273040771
opt-125m/10.self_attn.out_proj	mse	0.00036922391154803336	0.000367802451364696	0.0003657727502286434
