Data	Scaling	GPTQ	GPTQ+LS10	GPTQ+LS100
bloom-560m/0.mlp.dense_4h_to_h	mse	0.0002414292102912441	0.0002392837341176346	0.00023475722991861403
bloom-560m/0.mlp.dense_h_to_4h	mse	0.004655183758586645	0.004465189296752214	0.004265093710273504
bloom-560m/0.self_attention.dense	mse	7.613592606503516e-05	7.488284609280527e-05	7.42937991162762e-05
bloom-560m/0.self_attention.query_key_value	mse	0.0066535621881484985	0.006262157112360001	0.0060135722160339355
bloom-560m/1.mlp.dense_4h_to_h	mse	0.0003095403080806136	0.00030626641819253564	0.00030160267488099635
bloom-560m/1.mlp.dense_h_to_4h	mse	0.0062511274591088295	0.005981710273772478	0.005655441898852587
bloom-560m/1.self_attention.dense	mse	7.362061296589673e-05	7.236200326588005e-05	7.163502596085891e-05
bloom-560m/1.self_attention.query_key_value	mse	0.008571851067245007	0.00815242063254118	0.007598129566758871
bloom-560m/10.mlp.dense_4h_to_h	mse	0.0008115313830785453	0.0007910820422694087	0.0007572986651211977
bloom-560m/10.mlp.dense_h_to_4h	mse	0.008707288652658463	0.008320447988808155	0.007761317305266857
bloom-560m/10.self_attention.dense	mse	0.0003061924362555146	0.00029518399969674647	0.0002821186790242791
bloom-560m/10.self_attention.query_key_value	mse	0.1955934762954712	0.17091631889343262	0.1524900197982788
bloom-560m/11.mlp.dense_4h_to_h	mse	0.0006982798804529011	0.000683590944390744	0.0006556513253599405
bloom-560m/11.mlp.dense_h_to_4h	mse	0.00953979603946209	0.009096778929233551	0.00846264511346817
bloom-560m/11.self_attention.dense	mse	0.00029984215507283807	0.0002910814364440739	0.0002826753770932555
bloom-560m/11.self_attention.query_key_value	mse	0.13020245730876923	0.12292355298995972	0.11132875829935074
bloom-560m/12.mlp.dense_4h_to_h	mse	0.000782655319198966	0.0007689666817896068	0.0007412662962451577
bloom-560m/12.mlp.dense_h_to_4h	mse	0.011548930779099464	0.01107735000550747	0.010354036465287209
bloom-560m/12.self_attention.dense	mse	0.00029557710513472557	0.0002858790976461023	0.0002756082103587687
bloom-560m/12.self_attention.query_key_value	mse	0.14920592308044434	0.13878823816776276	0.12568902969360352
bloom-560m/13.mlp.dense_4h_to_h	mse	0.0007545396219938993	0.0007402023766189814	0.0007139826193451881
bloom-560m/13.mlp.dense_h_to_4h	mse	0.011360970325767994	0.010913195088505745	0.010230346582829952
bloom-560m/13.self_attention.dense	mse	0.000316777266561985	0.0003055504057556391	0.0002947170287370682
bloom-560m/13.self_attention.query_key_value	mse	0.12830324470996857	0.11883461475372314	0.10668770223855972
bloom-560m/14.mlp.dense_4h_to_h	mse	0.0007918868213891983	0.0007781954482197762	0.0007540977094322443
bloom-560m/14.mlp.dense_h_to_4h	mse	0.011389159597456455	0.010942388325929642	0.010281180962920189
