Data	Scaling	Diag	DiagErr	DiagSqErr
bloom-560m/0.mlp.dense_4h_to_h	mse	0.009261817671358585	0.009050289168953896	0.0083345677703619
bloom-560m/0.mlp.dense_h_to_4h	mse	0.05988338589668274	0.059801749885082245	0.060060225427150726
bloom-560m/0.self_attention.dense	mse	0.00542121846228838	0.005479864310473204	0.005546479485929012
bloom-560m/0.self_attention.query_key_value	mse	0.08817244321107864	0.08790039271116257	0.08690599352121353
bloom-560m/1.mlp.dense_4h_to_h	mse	0.004069960210472345	0.003983848728239536	0.0038766195066273212
bloom-560m/1.mlp.dense_h_to_4h	mse	0.08524500578641891	0.0852341428399086	0.08544514328241348
bloom-560m/1.self_attention.dense	mse	0.0016475010197609663	0.0015884038293734193	0.0015976328868418932
bloom-560m/1.self_attention.query_key_value	mse	0.1111893281340599	0.1104307547211647	0.10862474888563156
bloom-560m/10.mlp.dense_4h_to_h	mse	0.006181653589010239	0.006032426841557026	0.0058919768780469894
bloom-560m/10.mlp.dense_h_to_4h	mse	0.103194460272789	0.10336171090602875	0.10341702401638031
bloom-560m/10.self_attention.dense	mse	0.0030725111719220877	0.0030106534250080585	0.0029609459452331066
bloom-560m/10.self_attention.query_key_value	mse	2.4113929271698	2.416475296020508	2.4222936630249023
bloom-560m/11.mlp.dense_4h_to_h	mse	0.006179746240377426	0.006027690134942532	0.005888659507036209
bloom-560m/11.mlp.dense_h_to_4h	mse	0.10633356124162674	0.1061195507645607	0.10605812072753906
bloom-560m/11.self_attention.dense	mse	0.0029183460865169764	0.002907400717958808	0.002888238988816738
bloom-560m/11.self_attention.query_key_value	mse	0.6787301898002625	0.6788825392723083	0.6793758273124695
bloom-560m/12.mlp.dense_4h_to_h	mse	0.0069244252517819405	0.0068007949739694595	0.006662359461188316
bloom-560m/12.mlp.dense_h_to_4h	mse	0.1312580406665802	0.13113200664520264	0.13117459416389465
bloom-560m/12.self_attention.dense	mse	0.0029017727356404066	0.002874242141842842	0.0028412537649273872
bloom-560m/12.self_attention.query_key_value	mse	0.9373602271080017	0.9367837905883789	0.9370810389518738
bloom-560m/13.mlp.dense_4h_to_h	mse	0.0067512271925807	0.006626366637647152	0.00648553716018796
bloom-560m/13.mlp.dense_h_to_4h	mse	0.13642580807209015	0.13660702109336853	0.1371714472770691
bloom-560m/13.self_attention.dense	mse	0.002959238365292549	0.0029328265227377415	0.002887197770178318
bloom-560m/13.self_attention.query_key_value	mse	0.6084157824516296	0.6076397895812988	0.6057424545288086
bloom-560m/14.mlp.dense_4h_to_h	mse	0.007079045753926039	0.00694035179913044	0.006808866746723652
bloom-560m/14.mlp.dense_h_to_4h	mse	0.13610762357711792	0.13657264411449432	0.13705569505691528
bloom-560m/14.self_attention.dense	mse	0.0025919838808476925	0.0025923955254256725	0.0025595449842512608
bloom-560m/14.self_attention.query_key_value	mse	0.5733640789985657	0.5754720568656921	0.5618650317192078
bloom-560m/15.mlp.dense_4h_to_h	mse	0.007559134159237146	0.007437323685735464	0.007321485318243504
bloom-560m/15.mlp.dense_h_to_4h	mse	0.13920508325099945	0.13946956396102905	0.13957282900810242
bloom-560m/15.self_attention.dense	mse	0.0025897743180394173	0.0025840322487056255	0.0025672963820397854
bloom-560m/15.self_attention.query_key_value	mse	0.5737773180007935	0.568682849407196	0.5756964087486267
bloom-560m/16.mlp.dense_4h_to_h	mse	0.008406012319028378	0.008278733119368553	0.008165532723069191
bloom-560m/16.mlp.dense_h_to_4h	mse	0.13867543637752533	0.13865172863006592	0.1390230506658554
bloom-560m/16.self_attention.dense	mse	0.0028220252133905888	0.0028138819616287947	0.0027964026667177677
bloom-560m/16.self_attention.query_key_value	mse	0.6062650084495544	0.605920135974884	0.6083409786224365
bloom-560m/17.mlp.dense_4h_to_h	mse	0.009731301106512547	0.009575199335813522	0.009407187812030315
bloom-560m/17.mlp.dense_h_to_4h	mse	0.1402624100446701	0.14048278331756592	0.14064164459705353
bloom-560m/17.self_attention.dense	mse	0.003020037431269884	0.0029953995253890753	0.0029649268835783005
bloom-560m/17.self_attention.query_key_value	mse	0.4986930787563324	0.5015332102775574	0.5034334063529968
bloom-560m/18.mlp.dense_4h_to_h	mse	0.01138556282967329	0.011244860477745533	0.011062278412282467
bloom-560m/18.mlp.dense_h_to_4h	mse	0.14633186161518097	0.14641012251377106	0.1467207819223404
bloom-560m/18.self_attention.dense	mse	0.0038609893526881933	0.0038465261459350586	0.0037673749029636383
bloom-560m/18.self_attention.query_key_value	mse	1.0194147825241089	1.0240459442138672	1.0824551582336426
bloom-560m/19.mlp.dense_4h_to_h	mse	0.013706400990486145	0.013539722189307213	0.013326531276106834
bloom-560m/19.mlp.dense_h_to_4h	mse	0.1513909101486206	0.15140023827552795	0.15172097086906433
bloom-560m/19.self_attention.dense	mse	0.004893177188932896	0.00483272410929203	0.00478903204202652
bloom-560m/19.self_attention.query_key_value	mse	0.6905387043952942	0.6925533413887024	0.6877315044403076
