Data	Scaling	GPTQ	GPTQ+LS10	GPTQ+LS100
opt-350m/18.fc2	mse	0.008156407624483109	0.00799691490828991	0.00765615189447999
opt-350m/18.self_attn.k_proj	mse	0.13238272070884705	0.12353119254112244	0.11092130094766617
opt-350m/18.self_attn.out_proj	mse	0.002132135210558772	0.001987990690395236	0.0018634316511452198
opt-350m/18.self_attn.q_proj	mse	0.15021541714668274	0.1404028832912445	0.12735559046268463
opt-350m/18.self_attn.v_proj	mse	0.08375069499015808	0.07917365431785583	0.0729779377579689
opt-350m/19.fc1	mse	0.0842134952545166	0.07860663533210754	0.07145994156599045
opt-350m/19.fc2	mse	0.0077591207809746265	0.00762135349214077	0.00729714659973979
opt-350m/19.self_attn.k_proj	mse	0.15174423158168793	0.14132684469223022	0.1266481876373291
opt-350m/19.self_attn.out_proj	mse	0.002473388332873583	0.0023512523621320724	0.00226912135258317
opt-350m/19.self_attn.q_proj	mse	0.19070430099964142	0.1759844720363617	0.1592268943786621
opt-350m/19.self_attn.v_proj	mse	0.0713973268866539	0.06749273836612701	0.062297090888023376
opt-350m/2.fc1	mse	0.07105391472578049	0.06375247240066528	0.04991212114691734
opt-350m/2.fc2	mse	0.003779543563723564	0.003718371968716383	0.003566532162949443
opt-350m/2.self_attn.k_proj	mse	0.1346227526664734	0.11307147890329361	0.07909195125102997
opt-350m/2.self_attn.out_proj	mse	0.0008428923320025206	0.0007976707420311868	0.0007543157553300261
opt-350m/2.self_attn.q_proj	mse	0.10998909175395966	0.09638600051403046	0.07323737442493439
opt-350m/2.self_attn.v_proj	mse	0.04136623442173004	0.03691192716360092	0.02800896018743515
opt-350m/20.fc1	mse	0.0828109085559845	0.07755507528781891	0.07084661722183228
opt-350m/20.fc2	mse	0.00811023823916912	0.007962922565639019	0.007636692374944687
opt-350m/20.self_attn.k_proj	mse	0.2505064606666565	0.22967123985290527	0.1990697830915451
opt-350m/20.self_attn.out_proj	mse	0.002977335825562477	0.0028646241407841444	0.002779534552246332
opt-350m/20.self_attn.q_proj	mse	0.2227296531200409	0.20429617166519165	0.18283461034297943
opt-350m/20.self_attn.v_proj	mse	0.06506533920764923	0.061475422233343124	0.056819312274456024
opt-350m/21.fc1	mse	0.08494478464126587	0.07916241884231567	0.0723094493150711
opt-350m/21.fc2	mse	0.008882995694875717	0.008701827377080917	0.008319315500557423
opt-350m/21.self_attn.k_proj	mse	0.2830776572227478	0.2591872215270996	0.22369147837162018
opt-350m/21.self_attn.out_proj	mse	0.0027054203674197197	0.002576548606157303	0.0024782116524875164
opt-350m/21.self_attn.q_proj	mse	0.2064049243927002	0.19030185043811798	0.1698632389307022
opt-350m/21.self_attn.v_proj	mse	0.06463970243930817	0.06098450720310211	0.05650198087096214
opt-350m/22.fc1	mse	0.08020871877670288	0.07451005280017853	0.06770806014537811
opt-350m/22.fc2	mse	0.010251088067889214	0.009996281936764717	0.009534562937915325
opt-350m/22.self_attn.k_proj	mse	0.4086373448371887	0.3721606731414795	0.3138943314552307
opt-350m/22.self_attn.out_proj	mse	0.005069596692919731	0.004884134978055954	0.004664459265768528
opt-350m/22.self_attn.q_proj	mse	0.17573218047618866	0.16448722779750824	0.15062852203845978
opt-350m/22.self_attn.v_proj	mse	0.06719158589839935	0.06341458112001419	0.05939155071973801
opt-350m/23.fc1	mse	0.07209554314613342	0.065690778195858	0.05888838320970535
opt-350m/23.fc2	mse	0.008551793172955513	0.008310454897582531	0.008004442788660526
opt-350m/23.self_attn.k_proj	mse	0.1630980670452118	0.1500176042318344	0.13312363624572754
opt-350m/23.self_attn.out_proj	mse	0.007075208239257336	0.006526096723973751	0.0058563342317938805
opt-350m/23.self_attn.q_proj	mse	0.12968437373638153	0.12093181908130646	0.11102073639631271
opt-350m/23.self_attn.v_proj	mse	0.0883851945400238	0.08320233225822449	0.07843893021345139
opt-350m/3.fc1	mse	0.07115469872951508	0.06483501940965652	0.05344320461153984
opt-350m/3.fc2	mse	0.003893844783306122	0.0038391980342566967	0.003693666774779558
opt-350m/3.self_attn.k_proj	mse	0.1362266093492508	0.11769997328519821	0.08976048231124878
opt-350m/3.self_attn.out_proj	mse	0.0008892504265531898	0.0008289048564620316	0.0007789905066601932
opt-350m/3.self_attn.q_proj	mse	0.13541215658187866	0.12029600888490677	0.09658291935920715
opt-350m/3.self_attn.v_proj	mse	0.047346752136945724	0.04299742728471756	0.0350252240896225
opt-350m/4.fc1	mse	0.07309829443693161	0.0669519230723381	0.05657859891653061
opt-350m/4.fc2	mse	0.004413047805428505	0.004336533136665821	0.004171878099441528
opt-350m/4.self_attn.k_proj	mse	0.16698849201202393	0.145682692527771	0.11380484700202942
opt-350m/4.self_attn.out_proj	mse	0.0010906616225838661	0.0010252100182697177	0.0009735154453665018
opt-350m/4.self_attn.q_proj	mse	0.1384943127632141	0.12454934418201447	0.10340698063373566
opt-350m/4.self_attn.v_proj	mse	0.04598097503185272	0.04211495816707611	0.03524540737271309
opt-350m/5.fc1	mse	0.07579506188631058	0.06958218663930893	0.059700727462768555
opt-350m/5.fc2	mse	0.004408477805554867	0.004342268221080303	0.004182941280305386
opt-350m/5.self_attn.k_proj	mse	0.20563314855098724	0.18100596964359283	0.14319615066051483
opt-350m/5.self_attn.out_proj	mse	0.0009180668275803328	0.0008685934008099139	0.0008322398643940687
opt-350m/5.self_attn.q_proj	mse	0.22969357669353485	0.20534197986125946	0.17045173048973083
opt-350m/5.self_attn.v_proj	mse	0.04552134871482849	0.04180960729718208	0.03533940389752388
opt-350m/6.fc1	mse	0.08030185103416443	0.07391494512557983	0.06419087946414948
opt-350m/6.fc2	mse	0.005228269845247269	0.0051500266417860985	0.004960932303220034
opt-350m/6.self_attn.k_proj	mse	0.3347320556640625	0.2926228642463684	0.22696556150913239
opt-350m/6.self_attn.out_proj	mse	0.0014323790092021227	0.00136519072111696	0.0013044055085629225
opt-350m/6.self_attn.q_proj	mse	0.25957152247428894	0.23213759064674377	0.19288155436515808
opt-350m/6.self_attn.v_proj	mse	0.03956979885697365	0.036514200270175934	0.03145187348127365
opt-350m/7.fc1	mse	0.08656325191259384	0.08007727563381195	0.07016998529434204
opt-350m/7.fc2	mse	0.00648977467790246	0.006377697456628084	0.006134355440735817
opt-350m/7.self_attn.k_proj	mse	0.2944909930229187	0.26181256771087646	0.2094268500804901
opt-350m/7.self_attn.out_proj	mse	0.002073093084618449	0.001983637921512127	0.0018891127547249198
opt-350m/7.self_attn.q_proj	mse	0.20450060069561005	0.18404163420200348	0.15431593358516693
opt-350m/7.self_attn.v_proj	mse	0.044334083795547485	0.04119740054011345	0.036184780299663544
opt-350m/8.fc1	mse	0.08713950216770172	0.0809340626001358	0.07122834026813507
opt-350m/8.fc2	mse	0.008218656294047832	0.0080689312890172	0.007717191241681576
opt-350m/8.self_attn.k_proj	mse	0.23987391591072083	0.21429529786109924	0.17367061972618103
opt-350m/8.self_attn.out_proj	mse	0.0029285268392413855	0.0028103450313210487	0.0026860011275857687
opt-350m/8.self_attn.q_proj	mse	0.17307893931865692	0.15860313177108765	0.1357380747795105
opt-350m/8.self_attn.v_proj	mse	0.047234468162059784	0.04417114332318306	0.03929394111037254
opt-350m/9.fc1	mse	0.08785558491945267	0.08179719001054764	0.07229142636060715
opt-350m/9.fc2	mse	0.008329221978783607	0.008167359046638012	0.007810771465301514
opt-350m/9.self_attn.k_proj	mse	0.19126008450984955	0.17308907210826874	0.14405301213264465
opt-350m/9.self_attn.out_proj	mse	0.0032603121362626553	0.0031302827410399914	0.003021017648279667
opt-350m/9.self_attn.q_proj	mse	0.1431320756673813	0.13292713463306427	0.11733712255954742
opt-350m/9.self_attn.v_proj	mse	0.052667923271656036	0.0492950975894928	0.04391724616289139
