Data	Scaling	GPTQ	GPTQ+LS10	GPTQ+LS100
bloom-560m/22.self_attention.query_key_value	mse	0.5208064317703247	0.30392420291900635	0.20803196728229523
bloom-560m/23.mlp.dense_4h_to_h	mse	0.01490714680403471	0.013140483759343624	0.010668456554412842
bloom-560m/23.mlp.dense_h_to_4h	mse	0.12100633233785629	0.09447340667247772	0.08371823281049728
bloom-560m/23.self_attention.dense	mse	0.0038917125202715397	0.0035196144599467516	0.002861115150153637
bloom-560m/23.self_attention.query_key_value	mse	0.03782173618674278	0.0334990955889225	0.03044925630092621
bloom-560m/3.mlp.dense_4h_to_h	mse	0.002200101502239704	0.002155860885977745	0.0020708106458187103
bloom-560m/3.mlp.dense_h_to_4h	mse	0.03550203517079353	0.03365074470639229	0.030736170709133148
bloom-560m/3.self_attention.dense	mse	0.0007476705359295011	0.0006143759237602353	0.0005628104554489255
bloom-560m/3.self_attention.query_key_value	mse	0.0355270616710186	0.03366488218307495	0.030420728027820587
bloom-560m/4.mlp.dense_4h_to_h	mse	0.06200293079018593	0.06168220937252045	0.06015309318900108
bloom-560m/4.mlp.dense_h_to_4h	mse	0.033416926860809326	0.03163434565067291	0.028646863996982574
bloom-560m/4.self_attention.dense	mse	0.0006957039004191756	0.0005934532964602113	0.0005018934607505798
bloom-560m/4.self_attention.query_key_value	mse	0.03709142655134201	0.03491704538464546	0.031199224293231964
bloom-560m/5.mlp.dense_4h_to_h	mse	0.0031532119028270245	0.0030438844114542007	0.0027841986157000065
bloom-560m/5.mlp.dense_h_to_4h	mse	0.026725074276328087	0.025292810052633286	0.022805888205766678
bloom-560m/5.self_attention.dense	mse	0.0007615226204507053	0.0007229079492390156	0.0006456826813519001
bloom-560m/5.self_attention.query_key_value	mse	0.045954037457704544	0.042357247322797775	0.0370698980987072
bloom-560m/6.mlp.dense_4h_to_h	mse	0.0029492005705833435	0.002659544348716736	0.002390018431469798
bloom-560m/6.mlp.dense_h_to_4h	mse	0.03131965175271034	0.029654240235686302	0.026794137433171272
bloom-560m/6.self_attention.dense	mse	0.0008501429692842066	0.0008184498292393982	0.0007881789351813495
bloom-560m/6.self_attention.query_key_value	mse	0.07054320722818375	0.06593700498342514	0.057987410575151443
bloom-560m/7.mlp.dense_4h_to_h	mse	0.0021813209168612957	0.0020253027323633432	0.0017760682385414839
bloom-560m/7.mlp.dense_h_to_4h	mse	0.019275184720754623	0.018080811947584152	0.015943987295031548
bloom-560m/7.self_attention.dense	mse	0.0007320200093090534	0.0006405579042620957	0.0006043611792847514
bloom-560m/7.self_attention.query_key_value	mse	0.07312420755624771	0.0649961307644844	0.05489349365234375
bloom-560m/8.mlp.dense_4h_to_h	mse	0.0018715648911893368	0.001712195691652596	0.0014840589137747884
bloom-560m/8.mlp.dense_h_to_4h	mse	0.01400202326476574	0.013177355751395226	0.011710668914020061
bloom-560m/8.self_attention.dense	mse	0.0007408990059047937	0.0007101478986442089	0.0006791502237319946
bloom-560m/8.self_attention.query_key_value	mse	0.1606168895959854	0.13524843752384186	0.11135158687829971
bloom-560m/9.mlp.dense_4h_to_h	mse	0.0018056798726320267	0.0016347547061741352	0.0014067913871258497
bloom-560m/9.mlp.dense_h_to_4h	mse	0.012050682678818703	0.011318860575556755	0.010156730189919472
bloom-560m/9.self_attention.dense	mse	0.0007796211866661906	0.0007459328626282513	0.0007060617208480835
bloom-560m/9.self_attention.query_key_value	mse	0.25088900327682495	0.22927157580852509	0.1933922916650772
opt-125m/0.fc1	mse	0.0008940077386796474	0.0008255485445261002	0.0007868751417845488
opt-125m/0.fc2	mse	0.010809067636728287	0.010725818574428558	0.010704339481890202
opt-125m/0.self_attn.k_proj	mse	0.293854683637619	0.26865941286087036	0.2522244453430176
