Data	Standard	Correction	Scaling	SleekitLight	SleekitHeavy
bloom-560m/0.mlp.dense_4h_to_h	0.0010199141688644886	0.0008517989772371948	0.0007575646741315722	0.000727715902030468	0.0006864938768558204
bloom-560m/0.mlp.dense_h_to_4h	0.015834152698516846	0.015092693269252777	0.016704784706234932	0.015188891440629959	0.01297488622367382
bloom-560m/0.self_attention.dense	0.000334533688146621	0.000258947373367846	0.0002750762505456805	0.0002384660765528679	0.00022060544870328158
bloom-560m/0.self_attention.query_key_value	0.022651707753539085	0.021812163293361664	0.022095294669270515	0.021151697263121605	0.018929075449705124
bloom-560m/1.mlp.dense_4h_to_h	0.0009493031539022923	0.0009415553067810833	0.0009284900152124465	0.0009086235659196973	0.0008762066718190908
bloom-560m/1.mlp.dense_h_to_4h	0.02090967819094658	0.020214848220348358	0.021523263305425644	0.020368454977869987	0.017547745257616043
bloom-560m/1.self_attention.dense	0.0002509109617676586	0.00024095347907859832	0.0002769877028185874	0.0002346665714867413	0.00021792991901747882
bloom-560m/1.self_attention.query_key_value	0.02875288389623165	0.02828061580657959	0.02838776260614395	0.02779596485197544	0.024085527285933495
bloom-560m/10.mlp.dense_4h_to_h	0.002088653389364481	0.0020376252941787243	0.001924605225212872	0.0018658486660569906	0.0017874548211693764
bloom-560m/10.mlp.dense_h_to_4h	0.02856285497546196	0.027084147557616234	0.02829248085618019	0.026607804000377655	0.023059166967868805
bloom-560m/10.self_attention.dense	0.0009365393198095262	0.0009325713035650551	0.0009457857813686132	0.0009067896753549576	0.0008329248521476984
bloom-560m/10.self_attention.query_key_value	0.5960080623626709	0.2606043815612793	0.13796663284301758	0.12462586164474487	0.09933075308799744
bloom-560m/11.mlp.dense_4h_to_h	0.001985664013773203	0.001962872687727213	0.0019547005649656057	0.0018784389831125736	0.0017908785957843065
bloom-560m/11.mlp.dense_h_to_4h	0.030052121728658676	0.028585387393832207	0.02939540147781372	0.027742039412260056	0.024104546755552292
bloom-560m/11.self_attention.dense	0.0009160636109299958	0.0009075877023860812	0.0009310499299317598	0.0009043618338182569	0.0008313576108776033
bloom-560m/11.self_attention.query_key_value	0.2785121202468872	0.21633750200271606	0.09160580486059189	0.08419909328222275	0.06938090175390244
bloom-560m/12.mlp.dense_4h_to_h	0.0022625792771577835	0.002240584697574377	0.0022640442475676537	0.0021628953982144594	0.0020532794296741486
bloom-560m/12.mlp.dense_h_to_4h	0.036693766713142395	0.03550644963979721	0.03702438250184059	0.035104840993881226	0.030428927391767502
bloom-560m/12.self_attention.dense	0.0009053739486262202	0.0009017227566801012	0.0009056262206286192	0.0008858814253471792	0.0008145422325469553
