Data	Scaling	Damp0.001	Damp0.003	Damp0.01	Damp0.03	Damp0.1	Damp0.3	Damp1.0
bloom-560m/0.mlp.dense_4h_to_h	mse	0.010496307164430618	0.009978347457945347	0.009261690080165863	0.008718776516616344	0.0077187856659293175	0.006986433640122414	0.0061066774651408195
bloom-560m/0.mlp.dense_h_to_4h	mse	0.060322608798742294	0.06022568792104721	0.05988344922661781	0.059263668954372406	0.05858772248029709	0.058773621916770935	0.062056101858615875
bloom-560m/0.self_attention.dense	mse	0.005713795777410269	0.005616812966763973	0.005421265959739685	0.005115681327879429	0.00477935466915369	0.004380311816930771	0.004163819365203381
bloom-560m/0.self_attention.query_key_value	mse	0.09471479803323746	0.09194657951593399	0.08817258477210999	0.08423849195241928	0.08088243752717972	0.07992755621671677	0.08300407230854034
bloom-560m/1.mlp.dense_4h_to_h	mse	0.004678212106227875	0.004377299919724464	0.004069794435054064	0.0037767388857901096	0.003531628753989935	0.003528822446241975	0.0038481729570776224
bloom-560m/1.mlp.dense_h_to_4h	mse	0.08565469086170197	0.0855867937207222	0.08524370938539505	0.08461141586303711	0.08358906954526901	0.08390878140926361	0.08865867555141449
bloom-560m/1.self_attention.dense	mse	0.0017285270150750875	0.0017157262191176414	0.0016475114971399307	0.0015298579819500446	0.0013611393515020609	0.0013116411864757538	0.0013909863773733377
bloom-560m/1.self_attention.query_key_value	mse	0.11198225617408752	0.11175751686096191	0.1111893281340599	0.11014720797538757	0.10845166444778442	0.1082749292254448	0.11309432238340378
bloom-560m/10.mlp.dense_4h_to_h	mse	0.006402806378901005	0.006288337055593729	0.006182057783007622	0.006096589844673872	0.0060270740650594234	0.006049078889191151	0.006324212998151779
bloom-560m/10.mlp.dense_h_to_4h	mse	0.10652162879705429	0.10440750420093536	0.1031905934214592	0.10203332453966141	0.10120484232902527	0.10253101587295532	0.10975567996501923
bloom-560m/10.self_attention.dense	mse	0.0030751600861549377	0.0030741707887500525	0.0030725111719220877	0.00306997774168849	0.003067032666876912	0.0031020534224808216	0.0032556159421801567
bloom-560m/10.self_attention.query_key_value	mse	2.471428871154785	2.448005437850952	2.411393404006958	2.3247392177581787	2.2340104579925537	2.1274516582489014	2.0499379634857178
bloom-560m/11.mlp.dense_4h_to_h	mse	0.006332085467875004	0.006244463846087456	0.006179746240377426	0.006120012141764164	0.006085124798119068	0.0061396281234920025	0.006461177486926317
bloom-560m/11.mlp.dense_h_to_4h	mse	0.10956980288028717	0.10738997906446457	0.10633403062820435	0.10539689660072327	0.10465347021818161	0.10600664466619492	0.11290127784013748
bloom-560m/11.self_attention.dense	mse	0.0029271196108311415	0.002923864871263504	0.0029183458536863327	0.0029033052269369364	0.0029024076648056507	0.002958035096526146	0.003138708183541894
bloom-560m/11.self_attention.query_key_value	mse	0.691178023815155	0.6860880851745605	0.6787301898002625	0.6686614155769348	0.646285355091095	0.6256172060966492	0.6200944781303406
bloom-560m/12.mlp.dense_4h_to_h	mse	0.006956432946026325	0.006954655516892672	0.006924396846443415	0.006893608719110489	0.0068752579391002655	0.0069896262139081955	0.0074201105162501335
bloom-560m/12.mlp.dense_h_to_4h	mse	0.13430672883987427	0.13237419724464417	0.1312548667192459	0.13036683201789856	0.12952187657356262	0.13124796748161316	0.14001677930355072
bloom-560m/12.self_attention.dense	mse	0.0029036886990070343	0.002902827924117446	0.002901772502809763	0.002897975267842412	0.0029008439742028713	0.0029420731589198112	0.003103989874944091
bloom-560m/12.self_attention.query_key_value	mse	0.9700261950492859	0.9629219174385071	0.9373598694801331	0.9222545623779297	0.8813769817352295	0.8439996242523193	0.8321294188499451
bloom-560m/13.mlp.dense_4h_to_h	mse	0.0067742252722382545	0.006768667139112949	0.006751684006303549	0.006729329004883766	0.006721336394548416	0.006820322945713997	0.0072035035118460655
bloom-560m/13.mlp.dense_h_to_4h	mse	0.14009007811546326	0.13785521686077118	0.13643062114715576	0.13558658957481384	0.13502472639083862	0.13676749169826508	0.1457531750202179
bloom-560m/13.self_attention.dense	mse	0.0029641552828252316	0.002962658181786537	0.00295942067168653	0.0029546250589191914	0.0029562651179730892	0.0030023097060620785	0.0031764176674187183
bloom-560m/13.self_attention.query_key_value	mse	0.6271657347679138	0.6214016079902649	0.6084157824516296	0.59047532081604	0.5655905604362488	0.5488396286964417	0.5573315024375916
bloom-560m/14.mlp.dense_4h_to_h	mse	0.00709889130666852	0.0071005322970449924	0.007079005241394043	0.0070480043068528175	0.007032234221696854	0.007138710003346205	0.007548085413873196
bloom-560m/14.mlp.dense_h_to_4h	mse	0.1379539668560028	0.1368468701839447	0.13610762357711792	0.13554900884628296	0.1351197361946106	0.13707605004310608	0.1459355652332306
bloom-560m/14.self_attention.dense	mse	0.0026010489091277122	0.0025985906831920147	0.0025919838808476925	0.0025856224820017815	0.0025795786641538143	0.0026220004074275494	0.0027750120498239994
bloom-560m/14.self_attention.query_key_value	mse	0.5858539938926697	0.583079993724823	0.5733638405799866	0.5554878115653992	0.5244222283363342	0.5071194171905518	0.5167990326881409
bloom-560m/15.mlp.dense_4h_to_h	mse	0.007582895923405886	0.00757569307461381	0.007559224963188171	0.007523774169385433	0.007510879077017307	0.007619612850248814	0.008054385893046856
bloom-560m/15.mlp.dense_h_to_4h	mse	0.14122793078422546	0.1401737630367279	0.13920505344867706	0.13846895098686218	0.13795365393161774	0.1400831937789917	0.14947554469108582
bloom-560m/15.self_attention.dense	mse	0.0025990698486566544	0.0025957475882023573	0.0025897743180394173	0.0025778100825846195	0.0025767439510673285	0.002636541612446308	0.0028052176348865032
bloom-560m/15.self_attention.query_key_value	mse	0.5798936486244202	0.5777223706245422	0.5737776160240173	0.5567759871482849	0.535972535610199	0.5207142233848572	0.5291838645935059
bloom-560m/16.mlp.dense_4h_to_h	mse	0.00844157487154007	0.008426615968346596	0.008405832573771477	0.008365213871002197	0.008364859968423843	0.008517585694789886	0.009024558588862419
bloom-560m/16.mlp.dense_h_to_4h	mse	0.14038795232772827	0.13943059742450714	0.1386755406856537	0.13802696764469147	0.1375696063041687	0.13985154032707214	0.14971786737442017
bloom-560m/16.self_attention.dense	mse	0.002825670875608921	0.0028235786594450474	0.0028220252133905888	0.0028191744349896908	0.0028190521989017725	0.00286296708509326	0.0030130427330732346
bloom-560m/16.self_attention.query_key_value	mse	0.6184042692184448	0.6136839389801025	0.6062654852867126	0.588405191898346	0.5649687647819519	0.5478135943412781	0.5584458708763123
bloom-560m/17.mlp.dense_4h_to_h	mse	0.009785073809325695	0.009765373542904854	0.009731302037835121	0.009674770757555962	0.009663370437920094	0.009841755963861942	0.010457195341587067
bloom-560m/17.mlp.dense_h_to_4h	mse	0.14131991565227509	0.14084646105766296	0.14026057720184326	0.13957293331623077	0.13921251893043518	0.1419130563735962	0.15267227590084076
bloom-560m/17.self_attention.dense	mse	0.0030407097656279802	0.003034227527678013	0.0030200371984392405	0.00299272034317255	0.0029748829547315836	0.0030299611389636993	0.0032550639007240534
bloom-560m/17.self_attention.query_key_value	mse	0.5012269020080566	0.49924159049987793	0.4986923038959503	0.48406219482421875	0.46040666103363037	0.4467420279979706	0.45604029297828674
