Data	Scaling	GPTQ	GPTQ+BiasCorrection	GPTQWithBiasCorrection
bloom-560m/0.mlp.dense_4h_to_h	mse	0.0010199141688644886	0.0008830816950649023	0.0008517989772371948
bloom-560m/0.mlp.dense_h_to_4h	mse	0.015834152698516846	0.01540406234562397	0.015092693269252777
bloom-560m/0.self_attention.dense	mse	0.000334533688146621	0.0002859204832930118	0.000258947373367846
bloom-560m/0.self_attention.query_key_value	mse	0.022651707753539085	0.021970540285110474	0.021812163293361664
bloom-560m/1.mlp.dense_4h_to_h	mse	0.0009493031539022923	0.0009449401404708624	0.0009415553067810833
bloom-560m/1.mlp.dense_h_to_4h	mse	0.02090967819094658	0.02079426310956478	0.020214848220348358
bloom-560m/1.self_attention.dense	mse	0.0002509109617676586	0.0002489413018338382	0.00024095347907859832
bloom-560m/1.self_attention.query_key_value	mse	0.02875288389623165	0.028571419417858124	0.02828061580657959
bloom-560m/10.mlp.dense_4h_to_h	mse	0.002088653389364481	0.0020679347217082977	0.0020376252941787243
bloom-560m/10.mlp.dense_h_to_4h	mse	0.02856285497546196	0.027962859719991684	0.027084147557616234
bloom-560m/10.self_attention.dense	mse	0.0009365393198095262	0.0009351918706670403	0.0009325713035650551
bloom-560m/10.self_attention.query_key_value	mse	0.5960080623626709	0.34800586104393005	0.2606043815612793
bloom-560m/11.mlp.dense_4h_to_h	mse	0.001985664013773203	0.0019839126616716385	0.001962872687727213
bloom-560m/11.mlp.dense_h_to_4h	mse	0.030052121728658676	0.029477164149284363	0.028585387393832207
bloom-560m/11.self_attention.dense	mse	0.0009160636109299958	0.0009128222009167075	0.0009075877023860812
bloom-560m/11.self_attention.query_key_value	mse	0.2785121202468872	0.23668216168880463	0.21633750200271606
bloom-560m/12.mlp.dense_4h_to_h	mse	0.0022625792771577835	0.0022586663253605366	0.002240584697574377
bloom-560m/12.mlp.dense_h_to_4h	mse	0.036693766713142395	0.03636680543422699	0.03550644963979721
bloom-560m/12.self_attention.dense	mse	0.0009053739486262202	0.0009042680612765253	0.0009017227566801012
bloom-560m/12.self_attention.query_key_value	mse	0.32957565784454346	0.28093865513801575	0.2463868111371994
bloom-560m/13.mlp.dense_4h_to_h	mse	0.002213655970990658	0.002210852922871709	0.0021919184364378452
bloom-560m/13.mlp.dense_h_to_4h	mse	0.037101611495018005	0.03698179870843887	0.03623558580875397
bloom-560m/13.self_attention.dense	mse	0.0009575271978974342	0.0009558952297084033	0.0009523277985863388
bloom-560m/13.self_attention.query_key_value	mse	0.25758132338523865	0.24182230234146118	0.22875387966632843
bloom-560m/14.mlp.dense_4h_to_h	mse	0.002317927312105894	0.00231427070684731	0.0022972365841269493
bloom-560m/14.mlp.dense_h_to_4h	mse	0.03732641041278839	0.03722504526376724	0.036481376737356186
bloom-560m/14.self_attention.dense	mse	0.0007888915133662522	0.0007875264273025095	0.0007857297314330935
bloom-560m/14.self_attention.query_key_value	mse	0.25517669320106506	0.2359146922826767	0.2232181280851364
bloom-560m/15.mlp.dense_4h_to_h	mse	0.002470885869115591	0.0024682101793587208	0.0024532706011086702
bloom-560m/15.mlp.dense_h_to_4h	mse	0.038118720054626465	0.038011882454156876	0.03729832172393799
bloom-560m/15.self_attention.dense	mse	0.0008385280962102115	0.0008352872100658715	0.0008328633266501129
bloom-560m/15.self_attention.query_key_value	mse	0.2299180030822754	0.2167162299156189	0.21238070726394653
bloom-560m/16.mlp.dense_4h_to_h	mse	0.0027578393928706646	0.002754448913037777	0.0027398557867854834
bloom-560m/16.mlp.dense_h_to_4h	mse	0.038773730397224426	0.03863449767231941	0.037975020706653595
bloom-560m/16.self_attention.dense	mse	0.0008917556842789054	0.0008900851244106889	0.0008855148917064071
bloom-560m/16.self_attention.query_key_value	mse	0.2511124610900879	0.24233467876911163	0.23679061233997345
bloom-560m/17.mlp.dense_4h_to_h	mse	0.003213693853467703	0.003211105475202203	0.003197438083589077
bloom-560m/17.mlp.dense_h_to_4h	mse	0.03819442540407181	0.03809288144111633	0.03735247254371643
bloom-560m/17.self_attention.dense	mse	0.0009093243861570954	0.000897464866284281	0.0008921865373849869
bloom-560m/17.self_attention.query_key_value	mse	0.1803562045097351	0.16996800899505615	0.16922716796398163
bloom-560m/18.mlp.dense_4h_to_h	mse	0.003782975487411022	0.0037796897813677788	0.003769905772060156
bloom-560m/18.mlp.dense_h_to_4h	mse	0.039655208587646484	0.03954378142952919	0.038812924176454544
bloom-560m/18.self_attention.dense	mse	0.0012098209699615836	0.0011970275081694126	0.0011860711965709925
bloom-560m/18.self_attention.query_key_value	mse	0.23965154588222504	0.21216906607151031	0.1882888823747635
bloom-560m/19.mlp.dense_4h_to_h	mse	0.00454694963991642	0.004541897214949131	0.004527195822447538
bloom-560m/19.mlp.dense_h_to_4h	mse	0.04104405641555786	0.04091654717922211	0.04024039953947067
bloom-560m/19.self_attention.dense	mse	0.0015016066608950496	0.0015000258572399616	0.0014898489462211728
bloom-560m/19.self_attention.query_key_value	mse	0.2895565330982208	0.2466248720884323	0.2346399575471878
