Data	Scaling	GPTQ	GPTQ+LS10	GPTQ+LS100
bloom-560m/0.mlp.dense_4h_to_h	mse	0.009261817671358585	0.008475987240672112	0.00559738464653492
bloom-560m/0.mlp.dense_h_to_4h	mse	0.05988338589668274	0.05277744680643082	0.04667433723807335
bloom-560m/0.self_attention.dense	mse	0.00542121846228838	0.0043233116157352924	0.003196391277015209
bloom-560m/0.self_attention.query_key_value	mse	0.08817244321107864	0.07531427592039108	0.06425683200359344
bloom-560m/1.mlp.dense_4h_to_h	mse	0.004069960210472345	0.003684956580400467	0.003096663160249591
bloom-560m/1.mlp.dense_h_to_4h	mse	0.08524500578641891	0.07550961524248123	0.06454670429229736
bloom-560m/1.self_attention.dense	mse	0.0016475010197609663	0.0012074169935658574	0.0009641038486734033
bloom-560m/1.self_attention.query_key_value	mse	0.1111893281340599	0.10129767656326294	0.08642139285802841
bloom-560m/10.mlp.dense_4h_to_h	mse	0.006181653589010239	0.005834609270095825	0.005380992777645588
bloom-560m/10.mlp.dense_h_to_4h	mse	0.103194460272789	0.09501828253269196	0.08325225114822388
bloom-560m/10.self_attention.dense	mse	0.0030725111719220877	0.002891452517360449	0.00264727883040905
bloom-560m/10.self_attention.query_key_value	mse	2.4113929271698	2.118229389190674	1.8435732126235962
bloom-560m/11.mlp.dense_4h_to_h	mse	0.006179746240377426	0.005868484266102314	0.005409030243754387
bloom-560m/11.mlp.dense_h_to_4h	mse	0.10633356124162674	0.09860751032829285	0.08733023703098297
bloom-560m/11.self_attention.dense	mse	0.0029183460865169764	0.0027331646997481585	0.0025461644399911165
bloom-560m/11.self_attention.query_key_value	mse	0.6787301898002625	0.6111504435539246	0.5318045616149902
bloom-560m/12.mlp.dense_4h_to_h	mse	0.0069244252517819405	0.0066337864845991135	0.006173922214657068
bloom-560m/12.mlp.dense_h_to_4h	mse	0.1312580406665802	0.12210173904895782	0.10879049450159073
bloom-560m/12.self_attention.dense	mse	0.0029017727356404066	0.002736130263656378	0.0025270553305745125
bloom-560m/12.self_attention.query_key_value	mse	0.9373602271080017	0.8346933722496033	0.7227032780647278
bloom-560m/13.mlp.dense_4h_to_h	mse	0.0067512271925807	0.0065097203478217125	0.006071969401091337
bloom-560m/13.mlp.dense_h_to_4h	mse	0.13642580807209015	0.12717482447624207	0.11398876458406448
bloom-560m/13.self_attention.dense	mse	0.002959238365292549	0.002772672101855278	0.0025711809284985065
bloom-560m/13.self_attention.query_key_value	mse	0.6084157824516296	0.5471425652503967	0.4790439307689667
bloom-560m/14.mlp.dense_4h_to_h	mse	0.007079045753926039	0.006796604488044977	0.0063623483292758465
bloom-560m/14.mlp.dense_h_to_4h	mse	0.13610762357711792	0.12704730033874512	0.11410614103078842
bloom-560m/14.self_attention.dense	mse	0.0025919838808476925	0.0024165010545402765	0.002219678135588765
bloom-560m/14.self_attention.query_key_value	mse	0.5733640789985657	0.5098251700401306	0.4462184011936188
bloom-560m/15.mlp.dense_4h_to_h	mse	0.007559134159237146	0.007281293161213398	0.0068184928968548775
bloom-560m/15.mlp.dense_h_to_4h	mse	0.13920508325099945	0.12967845797538757	0.11650630831718445
bloom-560m/15.self_attention.dense	mse	0.0025897743180394173	0.0024301251396536827	0.0022710368502885103
bloom-560m/15.self_attention.query_key_value	mse	0.5737773180007935	0.5092660784721375	0.45041075348854065
bloom-560m/16.mlp.dense_4h_to_h	mse	0.008406012319028378	0.008111531846225262	0.007639150135219097
bloom-560m/16.mlp.dense_h_to_4h	mse	0.13867543637752533	0.12896239757537842	0.11568431556224823
bloom-560m/16.self_attention.dense	mse	0.0028220252133905888	0.002671018708497286	0.0025001708418130875
bloom-560m/16.self_attention.query_key_value	mse	0.6062650084495544	0.5407522320747375	0.4794072210788727
bloom-560m/17.mlp.dense_4h_to_h	mse	0.009731301106512547	0.009372874163091183	0.008821705356240273
bloom-560m/17.mlp.dense_h_to_4h	mse	0.1402624100446701	0.1298350989818573	0.115960992872715
bloom-560m/17.self_attention.dense	mse	0.003020037431269884	0.0027332454919815063	0.002513882936909795
bloom-560m/17.self_attention.query_key_value	mse	0.4986930787563324	0.4357723295688629	0.3806435167789459
bloom-560m/18.mlp.dense_4h_to_h	mse	0.01138556282967329	0.01099035982042551	0.010384021326899529
bloom-560m/18.mlp.dense_h_to_4h	mse	0.14633186161518097	0.13402244448661804	0.11916391551494598
bloom-560m/18.self_attention.dense	mse	0.0038609893526881933	0.003535069525241852	0.003288517240434885
bloom-560m/18.self_attention.query_key_value	mse	1.0194147825241089	0.8832069039344788	0.7741062641143799
bloom-560m/19.mlp.dense_4h_to_h	mse	0.013706400990486145	0.01317412406206131	0.012436702847480774
bloom-560m/19.mlp.dense_h_to_4h	mse	0.1513909101486206	0.13855819404125214	0.12314990162849426
bloom-560m/19.self_attention.dense	mse	0.004893177188932896	0.004590978845953941	0.00425383448600769
bloom-560m/19.self_attention.query_key_value	mse	0.6905387043952942	0.5813540816307068	0.5047650337219238
bloom-560m/2.mlp.dense_4h_to_h	mse	0.004934975411742926	0.004712662193924189	0.004306785296648741
bloom-560m/2.mlp.dense_h_to_4h	mse	0.13566648960113525	0.11775772273540497	0.10060116648674011
bloom-560m/2.self_attention.dense	mse	0.0011085168225690722	0.0009586748783476651	0.0008590649231337011
bloom-560m/2.self_attention.query_key_value	mse	0.12719334661960602	0.11707282066345215	0.10041696578264236
bloom-560m/20.mlp.dense_4h_to_h	mse	0.025676609948277473	0.022106459364295006	0.018889881670475006
bloom-560m/20.mlp.dense_h_to_4h	mse	0.16413109004497528	0.14377033710479736	0.12539821863174438
bloom-560m/20.self_attention.dense	mse	0.012414848431944847	0.010529778897762299	0.008790322579443455
bloom-560m/20.self_attention.query_key_value	mse	0.7562564015388489	0.6234462857246399	0.5446010231971741
bloom-560m/21.mlp.dense_4h_to_h	mse	0.21410620212554932	0.14725102484226227	0.07929548621177673
