Data	Scaling	GPTQ	GPTQ+BiasCorrection	GPTQWithBiasCorrection
bloom-560m/22.mlp.dense_4h_to_h	mse	0.00948081910610199	0.009354057721793652	0.0092027448117733
bloom-560m/22.mlp.dense_h_to_4h	mse	0.012768360786139965	0.01274931337684393	0.01294012926518917
bloom-560m/22.self_attention.dense	mse	0.004112160764634609	0.00409344770014286	0.004026535898447037
bloom-560m/22.self_attention.query_key_value	mse	0.09533338993787766	0.0602562241256237	0.0700225755572319
bloom-560m/23.mlp.dense_4h_to_h	mse	0.007376240566372871	0.007284820079803467	0.006725398823618889
bloom-560m/23.mlp.dense_h_to_4h	mse	0.010717961937189102	0.01064840704202652	0.010539587587118149
bloom-560m/23.self_attention.dense	mse	0.0009983910713344812	0.0009952336549758911	0.0009792981436476111
bloom-560m/23.self_attention.query_key_value	mse	0.010161046870052814	0.010144936852157116	0.010437797755002975
bloom-560m/3.mlp.dense_4h_to_h	mse	0.0008741361671127379	0.0008728805696591735	0.0008673397242091596
bloom-560m/3.mlp.dense_h_to_4h	mse	0.010423993691802025	0.010408671572804451	0.010425664484500885
bloom-560m/3.self_attention.dense	mse	0.00019417009025346488	0.00018005803576670587	0.0001833911082940176
bloom-560m/3.self_attention.query_key_value	mse	0.010532299987971783	0.010515477508306503	0.010461446829140186
bloom-560m/4.mlp.dense_4h_to_h	mse	0.04951614886522293	0.04868531599640846	0.044941917061805725
bloom-560m/4.mlp.dense_h_to_4h	mse	0.009843309409916401	0.009825342334806919	0.009673490189015865
bloom-560m/4.self_attention.dense	mse	0.00020121927082072943	0.00017015909543260932	0.00016607575525995344
bloom-560m/4.self_attention.query_key_value	mse	0.01094913762062788	0.010887674987316132	0.010687214322388172
bloom-560m/5.mlp.dense_4h_to_h	mse	0.0016569376457482576	0.0016546339029446244	0.0016416790895164013
bloom-560m/5.mlp.dense_h_to_4h	mse	0.007974199950695038	0.007961221039295197	0.007893089205026627
bloom-560m/5.self_attention.dense	mse	0.0001951881276909262	0.000190992490388453	0.0001894818851724267
bloom-560m/5.self_attention.query_key_value	mse	0.012998002581298351	0.012754395604133606	0.012892591767013073
bloom-560m/6.mlp.dense_4h_to_h	mse	0.0016027934616431594	0.0013285010354593396	0.0012961297761648893
bloom-560m/6.mlp.dense_h_to_4h	mse	0.009411565028131008	0.009395047090947628	0.009484335780143738
bloom-560m/6.self_attention.dense	mse	0.00027376296930015087	0.0002734714944381267	0.00027104851324111223
bloom-560m/6.self_attention.query_key_value	mse	0.020359357818961143	0.019178466871380806	0.02096509374678135
bloom-560m/7.mlp.dense_4h_to_h	mse	0.0009022342273965478	0.0008902057306841016	0.000880989246070385
bloom-560m/7.mlp.dense_h_to_4h	mse	0.005685622803866863	0.005653523840010166	0.005469969939440489
bloom-560m/7.self_attention.dense	mse	0.00022497886675409973	0.00020880388910882175	0.00020587581093423069
bloom-560m/7.self_attention.query_key_value	mse	0.02208537422120571	0.019961511716246605	0.02316267043352127
bloom-560m/8.mlp.dense_4h_to_h	mse	0.0005722856731154025	0.0005648354417644441	0.0005597734707407653
bloom-560m/8.mlp.dense_h_to_4h	mse	0.00417597871273756	0.0041450010612607	0.0039670574478805065
bloom-560m/8.self_attention.dense	mse	0.00024923135060817003	0.0002489342587068677	0.00024763247347436845
bloom-560m/8.self_attention.query_key_value	mse	0.058624643832445145	0.049003224819898605	0.05479663610458374
bloom-560m/9.mlp.dense_4h_to_h	mse	0.000541504065040499	0.0005349309649318457	0.0005296678864397109
bloom-560m/9.mlp.dense_h_to_4h	mse	0.003945040050894022	0.0037790746428072453	0.0036997555289417505
bloom-560m/9.self_attention.dense	mse	0.00025673393975012004	0.0002565282629802823	0.0002552753430791199
bloom-560m/9.self_attention.query_key_value	mse	0.11118251830339432	0.09495758265256882	0.09475795179605484
opt-125m/0.fc1	mse	0.0002722800709307194	0.0002694620343390852	0.00031257225782610476
opt-125m/0.fc2	mse	0.007258996367454529	0.0072389207780361176	0.007198933511972427
opt-125m/0.self_attn.k_proj	mse	0.08603084087371826	0.0855630561709404	0.11011740565299988
opt-125m/0.self_attn.out_proj	mse	1.0668581126083154e-05	1.0482336620043498e-05	1.0482763173058629e-05
opt-125m/0.self_attn.q_proj	mse	0.05697953701019287	0.05662171542644501	0.07674463838338852
opt-125m/0.self_attn.v_proj	mse	0.0005511704366654158	0.000548593932762742	0.0006657799822278321
opt-125m/1.fc1	mse	0.0007482669316232204	0.000746771227568388	0.0009698537178337574
opt-125m/1.fc2	mse	0.0005394312902353704	0.0005390609730966389	0.0005372195737436414
opt-125m/1.self_attn.k_proj	mse	0.06706037372350693	0.06473347544670105	0.0707634687423706
opt-125m/1.self_attn.out_proj	mse	9.992771992983762e-06	9.985517863242421e-06	9.795698133530095e-06
opt-125m/1.self_attn.q_proj	mse	0.03596801683306694	0.03417547419667244	0.037862956523895264
opt-125m/1.self_attn.v_proj	mse	0.0005127316107973456	0.0005101001006551087	0.0005581201403401792
opt-125m/10.fc1	mse	0.002335835015401244	0.0023195676039904356	0.0026592041831463575
opt-125m/10.fc2	mse	0.00041391063132323325	0.0004136096977163106	0.0004117075295653194
opt-125m/10.self_attn.k_proj	mse	0.3035675585269928	0.30118271708488464	0.29451438784599304
opt-125m/10.self_attn.out_proj	mse	0.00012009382044197991	0.00011997734691249207	0.00011951324995607138
opt-125m/10.self_attn.q_proj	mse	0.13162170350551605	0.1308596283197403	0.1353239119052887
opt-125m/10.self_attn.v_proj	mse	0.004486201796680689	0.004479606170207262	0.00463136238977313
opt-125m/11.fc1	mse	0.0032636169344186783	0.0030278482008725405	0.0031815096735954285
opt-125m/11.fc2	mse	0.0019286909373477101	0.0019131392473354936	0.0019406588980928063
opt-125m/11.self_attn.k_proj	mse	0.09356123208999634	0.09257934242486954	0.09627138823270798
opt-125m/11.self_attn.out_proj	mse	0.00029748459928669035	0.0002972031070385128	0.0002946539898402989
opt-125m/11.self_attn.q_proj	mse	0.038050394505262375	0.0378250777721405	0.039629388600587845
opt-125m/11.self_attn.v_proj	mse	0.005516780074685812	0.005510472226887941	0.005581937730312347
opt-125m/2.fc1	mse	0.0008205308113247156	0.0007987252320162952	0.0009509951341897249
opt-125m/2.fc2	mse	0.004455758258700371	0.004453543107956648	0.004453896079212427
opt-125m/2.self_attn.k_proj	mse	0.14577703177928925	0.13897250592708588	0.13107630610466003
opt-125m/2.self_attn.out_proj	mse	6.4491891862417106e-06	6.445157396228751e-06	6.389103873516433e-06
opt-125m/2.self_attn.q_proj	mse	0.19912166893482208	0.17124603688716888	0.16302244365215302
opt-125m/2.self_attn.v_proj	mse	0.0007290455978363752	0.0007276504184119403	0.0008573535014875233
opt-125m/3.fc1	mse	0.0006414694944396615	0.0006354130455292761	0.0006245494005270302
opt-125m/3.fc2	mse	0.00033734962926246226	0.00033714427263475955	0.0003363608557265252
opt-125m/3.self_attn.k_proj	mse	0.7828013300895691	0.5284190773963928	0.4848027527332306
opt-125m/3.self_attn.out_proj	mse	7.376988378382521e-06	7.369885224761674e-06	7.350611213041702e-06
opt-125m/3.self_attn.q_proj	mse	0.6314553618431091	0.4332989752292633	0.40256381034851074
opt-125m/3.self_attn.v_proj	mse	0.0012932942481711507	0.001281529082916677	0.0012006111210212111
opt-125m/4.fc1	mse	0.0009420512360520661	0.0009170796838589013	0.0010270687052980065
opt-125m/4.fc2	mse	0.0004395552969072014	0.00043934056884609163	0.00043763560825027525
opt-125m/4.self_attn.k_proj	mse	1.0856252908706665	0.7105186581611633	0.6283926963806152
opt-125m/4.self_attn.out_proj	mse	1.0004409887187649e-05	9.988059900933877e-06	9.861073522188235e-06
opt-125m/4.self_attn.q_proj	mse	0.6606858372688293	0.39891597628593445	0.3539066016674042
opt-125m/4.self_attn.v_proj	mse	0.0018079266883432865	0.0017267903313040733	0.0015858284896239638
opt-125m/5.fc1	mse	0.0008263399358838797	0.000803804665338248	0.0009165545925498009
opt-125m/5.fc2	mse	7.231988274725154e-05	7.229891343740746e-05	7.210224430309609e-05
opt-125m/5.self_attn.k_proj	mse	0.9989684224128723	0.6720216274261475	0.5841719508171082
opt-125m/5.self_attn.out_proj	mse	1.7143764125648886e-05	1.712046105240006e-05	1.702496774669271e-05
opt-125m/5.self_attn.q_proj	mse	0.634462296962738	0.42349374294281006	0.3635942041873932
opt-125m/5.self_attn.v_proj	mse	0.001650862512178719	0.001620903261937201	0.0015126975486055017
opt-125m/6.fc1	mse	0.0008708960376679897	0.0008234310080297291	0.0010709838243201375
opt-125m/6.fc2	mse	9.360958210891113e-05	9.356701775686815e-05	9.316031355410814e-05
opt-125m/6.self_attn.k_proj	mse	0.942147433757782	0.6435781121253967	0.5468200445175171
opt-125m/6.self_attn.out_proj	mse	2.3483740733354352e-05	2.3455117116100155e-05	2.3335678633884527e-05
opt-125m/6.self_attn.q_proj	mse	0.5082623362541199	0.33710792660713196	0.2811902165412903
opt-125m/6.self_attn.v_proj	mse	0.002233334118500352	0.002216152148321271	0.002088649431243539
opt-125m/7.fc1	mse	0.0010944956447929144	0.001078350585885346	0.0014119652332738042
opt-125m/7.fc2	mse	0.000111141060187947	0.00011108881881227717	0.00011069833271903917
opt-125m/7.self_attn.k_proj	mse	0.5259372591972351	0.454214483499527	0.414996474981308
opt-125m/7.self_attn.out_proj	mse	3.680098234326579e-05	3.675673724501394e-05	3.660454967757687e-05
opt-125m/7.self_attn.q_proj	mse	0.23693938553333282	0.20241396129131317	0.18573011457920074
opt-125m/7.self_attn.v_proj	mse	0.003060973482206464	0.003051525680348277	0.0030631842091679573
opt-125m/8.fc1	mse	0.0014932922786101699	0.0014710718533024192	0.0017707055667415261
opt-125m/8.fc2	mse	0.00017739673785399646	0.00017732004926074296	0.0001769063383108005
opt-125m/8.self_attn.k_proj	mse	0.4295947551727295	0.37681838870048523	0.36208999156951904
opt-125m/8.self_attn.out_proj	mse	5.91527386859525e-05	5.909518586122431e-05	5.887525912839919e-05
opt-125m/8.self_attn.q_proj	mse	0.16958363354206085	0.15189297497272491	0.14865504205226898
opt-125m/8.self_attn.v_proj	mse	0.0033133390825241804	0.0033061194699257612	0.0032890464644879103
opt-125m/9.fc1	mse	0.0018668826669454575	0.0018629668047651649	0.002189641585573554
opt-125m/9.fc2	mse	0.00025250131147913635	0.000252386525971815	0.0002514454536139965
opt-125m/9.self_attn.k_proj	mse	0.268941730260849	0.25014421343803406	0.25217244029045105
opt-125m/9.self_attn.out_proj	mse	0.00010128103895112872	0.00010113025200553238	0.00010036453750217333
opt-125m/9.self_attn.q_proj	mse	0.09661231189966202	0.09143251180648804	0.09459368139505386
opt-125m/9.self_attn.v_proj	mse	0.003667273325845599	0.0036584315821528435	0.0037295266520231962
opt-350m/0.fc1	mse	0.00715319998562336	0.007123728282749653	0.007048392668366432
opt-350m/0.fc2	mse	0.00043180008651688695	0.0004312077071517706	0.0004294239042792469
opt-350m/0.self_attn.k_proj	mse	0.00016930021229200065	0.0001662358408793807	0.00012030587822664529
opt-350m/0.self_attn.out_proj	mse	1.0376618675422833e-08	1.0366949965145977e-08	9.93102133861612e-09
opt-350m/0.self_attn.q_proj	mse	0.00011746873497031629	0.00010202125849900767	4.136703864787705e-05
opt-350m/0.self_attn.v_proj	mse	5.318557668942958e-06	5.3015937737654895e-06	5.117151886224747e-06
opt-350m/1.fc1	mse	0.00787452794611454	0.00785139761865139	0.007716820575296879
opt-350m/1.fc2	mse	0.0005707301897928119	0.0005704079521819949	0.000569438561797142
opt-350m/1.self_attn.k_proj	mse	0.006673892494291067	0.0066572376526892185	0.0065551940351724625
opt-350m/1.self_attn.out_proj	mse	0.00014799516065977514	0.0001479391212342307	0.0001464982342440635
opt-350m/1.self_attn.q_proj	mse	0.006850319914519787	0.006831232458353043	0.006738124415278435
opt-350m/1.self_attn.v_proj	mse	0.003967610653489828	0.0039567602798342705	0.0038991684559732676
opt-350m/10.fc1	mse	0.01542534027248621	0.015399999916553497	0.015120243653655052
opt-350m/10.fc2	mse	0.0017949348548427224	0.0017938787350431085	0.0017864394467324018
opt-350m/10.self_attn.k_proj	mse	0.020492898300290108	0.020463325083255768	0.02006075158715248
opt-350m/10.self_attn.out_proj	mse	0.0008650971576571465	0.0008644236950203776	0.0008577023399993777
opt-350m/10.self_attn.q_proj	mse	0.021129069849848747	0.021096939221024513	0.020845580846071243
opt-350m/10.self_attn.v_proj	mse	0.010988212190568447	0.010972952470183372	0.010799627751111984
opt-350m/11.fc1	mse	0.01606728881597519	0.01603991910815239	0.015723858028650284
opt-350m/11.fc2	mse	0.0020301516633480787	0.0020291374530643225	0.002021804917603731
opt-350m/11.self_attn.k_proj	mse	0.01972113735973835	0.019695010036230087	0.019235458225011826
opt-350m/11.self_attn.out_proj	mse	0.0006123959901742637	0.0006120113539509475	0.0006082660984247923
opt-350m/11.self_attn.q_proj	mse	0.01927505061030388	0.019246872514486313	0.01907118409872055
opt-350m/11.self_attn.v_proj	mse	0.012843918055295944	0.012825884856283665	0.012661095708608627
opt-350m/12.fc1	mse	0.017207197844982147	0.01717766374349594	0.016869347542524338
opt-350m/12.fc2	mse	0.002041285391896963	0.0020404590759426355	0.0020359037443995476
opt-350m/12.self_attn.k_proj	mse	0.020497586578130722	0.020470425486564636	0.020234916359186172
