Data	Scaling	GPTQ	GPTQ+BiasCorrection	GPTQWithBiasCorrection
bloom-560m/0.mlp.dense_4h_to_h	mse	0.009261817671358585	0.00463556032627821	0.0045657032169401646
bloom-560m/0.mlp.dense_h_to_4h	mse	0.05988338589668274	0.054737482219934464	0.05176138877868652
bloom-560m/0.self_attention.dense	mse	0.00542121846228838	0.0018266156548634171	0.0016136437188833952
bloom-560m/0.self_attention.query_key_value	mse	0.08817244321107864	0.08231692761182785	0.0826367661356926
bloom-560m/1.mlp.dense_4h_to_h	mse	0.004069960210472345	0.0035366613883525133	0.0034952897112816572
bloom-560m/1.mlp.dense_h_to_4h	mse	0.08524500578641891	0.07955891638994217	0.07284083217382431
bloom-560m/1.self_attention.dense	mse	0.0016475010197609663	0.0010661487467586994	0.001003403216600418
bloom-560m/1.self_attention.query_key_value	mse	0.1111893281340599	0.10749161243438721	0.10641787201166153
bloom-560m/10.mlp.dense_4h_to_h	mse	0.006181653589010239	0.005969120189547539	0.005880821030586958
bloom-560m/10.mlp.dense_h_to_4h	mse	0.103194460272789	0.09890464693307877	0.09391868114471436
bloom-560m/10.self_attention.dense	mse	0.0030725111719220877	0.0030540027655661106	0.003042008262127638
bloom-560m/10.self_attention.query_key_value	mse	2.4113929271698	0.854831874370575	0.7017410397529602
bloom-560m/11.mlp.dense_4h_to_h	mse	0.006179746240377426	0.006013143341988325	0.00593368336558342
bloom-560m/11.mlp.dense_h_to_4h	mse	0.10633356124162674	0.1026604175567627	0.09735322743654251
bloom-560m/11.self_attention.dense	mse	0.0029183460865169764	0.002876821905374527	0.002851128578186035
bloom-560m/11.self_attention.query_key_value	mse	0.6787301898002625	0.5291743874549866	0.501194417476654
bloom-560m/12.mlp.dense_4h_to_h	mse	0.0069244252517819405	0.006789973005652428	0.0067287469282746315
bloom-560m/12.mlp.dense_h_to_4h	mse	0.1312580406665802	0.12721620500087738	0.12149976193904877
bloom-560m/12.self_attention.dense	mse	0.0029017727356404066	0.0028878413140773773	0.0028723636642098427
bloom-560m/12.self_attention.query_key_value	mse	0.9373602271080017	0.6259682774543762	0.5782198309898376
bloom-560m/13.mlp.dense_4h_to_h	mse	0.0067512271925807	0.006648522801697254	0.0065865423530340195
bloom-560m/13.mlp.dense_h_to_4h	mse	0.13642580807209015	0.13224473595619202	0.12621308863162994
bloom-560m/13.self_attention.dense	mse	0.002959238365292549	0.0029393061995506287	0.0029303536284714937
bloom-560m/13.self_attention.query_key_value	mse	0.6084157824516296	0.5270979404449463	0.5070511698722839
bloom-560m/14.mlp.dense_4h_to_h	mse	0.007079045753926039	0.006935250014066696	0.006873336620628834
bloom-560m/14.mlp.dense_h_to_4h	mse	0.13610762357711792	0.13259586691856384	0.12678436934947968
bloom-560m/14.self_attention.dense	mse	0.0025919838808476925	0.0025694253854453564	0.0025600376538932323
bloom-560m/14.self_attention.query_key_value	mse	0.5733640789985657	0.4968234598636627	0.478922963142395
bloom-560m/15.mlp.dense_4h_to_h	mse	0.007559134159237146	0.007386959623545408	0.007337575778365135
bloom-560m/15.mlp.dense_h_to_4h	mse	0.13920508325099945	0.135324165225029	0.12940165400505066
bloom-560m/15.self_attention.dense	mse	0.0025897743180394173	0.0025595128536224365	0.002548874355852604
bloom-560m/15.self_attention.query_key_value	mse	0.5737773180007935	0.48812398314476013	0.4748191833496094
bloom-560m/16.mlp.dense_4h_to_h	mse	0.008406012319028378	0.008284107781946659	0.008232724852859974
bloom-560m/16.mlp.dense_h_to_4h	mse	0.13867543637752533	0.1356247365474701	0.13054071366786957
bloom-560m/16.self_attention.dense	mse	0.0028220252133905888	0.002794387750327587	0.002776028122752905
bloom-560m/16.self_attention.query_key_value	mse	0.6062650084495544	0.5296230912208557	0.5153651833534241
bloom-560m/17.mlp.dense_4h_to_h	mse	0.009731301106512547	0.009578170254826546	0.009527756832540035
bloom-560m/17.mlp.dense_h_to_4h	mse	0.1402624100446701	0.13686633110046387	0.13070890307426453
bloom-560m/17.self_attention.dense	mse	0.003020037431269884	0.0028929179534316063	0.0028556152246892452
bloom-560m/17.self_attention.query_key_value	mse	0.4986930787563324	0.42603254318237305	0.41467761993408203
bloom-560m/18.mlp.dense_4h_to_h	mse	0.01138556282967329	0.011252669617533684	0.011206982657313347
bloom-560m/18.mlp.dense_h_to_4h	mse	0.14633186161518097	0.14137612283229828	0.13529381155967712
bloom-560m/18.self_attention.dense	mse	0.0038609893526881933	0.003708851058036089	0.003677085041999817
bloom-560m/18.self_attention.query_key_value	mse	1.0194147825241089	0.5682972073554993	0.5038934350013733
bloom-560m/19.mlp.dense_4h_to_h	mse	0.013706400990486145	0.013522123917937279	0.013463342562317848
bloom-560m/19.mlp.dense_h_to_4h	mse	0.1513909101486206	0.14590735733509064	0.13978826999664307
bloom-560m/19.self_attention.dense	mse	0.004893177188932896	0.0048368629068136215	0.0047913058660924435
bloom-560m/19.self_attention.query_key_value	mse	0.6905387043952942	0.5324223637580872	0.5138118863105774
bloom-560m/2.mlp.dense_4h_to_h	mse	0.004934975411742926	0.0047278148122131824	0.004673991352319717
bloom-560m/2.mlp.dense_h_to_4h	mse	0.13566648960113525	0.12418629229068756	0.11740126460790634
bloom-560m/2.self_attention.dense	mse	0.0011085168225690722	0.0009982334449887276	0.0009764955611899495
bloom-560m/2.self_attention.query_key_value	mse	0.12719334661960602	0.1253984421491623	0.12491331249475479
bloom-560m/20.mlp.dense_4h_to_h	mse	0.025676609948277473	0.020327476784586906	0.020054753869771957
bloom-560m/20.mlp.dense_h_to_4h	mse	0.16413109004497528	0.15102528035640717	0.14448851346969604
bloom-560m/20.self_attention.dense	mse	0.012414848431944847	0.009897354990243912	0.009738749824464321
bloom-560m/20.self_attention.query_key_value	mse	0.7562564015388489	0.5685877799987793	0.5551373362541199
bloom-560m/21.mlp.dense_4h_to_h	mse	0.21410620212554932	0.043746232986450195	0.03920682519674301
bloom-560m/21.mlp.dense_h_to_4h	mse	0.16638818383216858	0.1502838432788849	0.14615964889526367
bloom-560m/21.self_attention.dense	mse	0.26251834630966187	0.058201856911182404	0.0534699410200119
bloom-560m/21.self_attention.query_key_value	mse	0.9429238438606262	0.6149122714996338	0.5981388092041016
bloom-560m/22.mlp.dense_4h_to_h	mse	0.04548906162381172	0.03896832466125488	0.03853742405772209
bloom-560m/22.mlp.dense_h_to_4h	mse	0.2134031355381012	0.1458478569984436	0.1389065682888031
bloom-560m/22.self_attention.dense	mse	0.4722824990749359	0.0975964367389679	0.09038664400577545
bloom-560m/22.self_attention.query_key_value	mse	3.199054002761841	0.8656390309333801	0.8175091743469238
bloom-560m/23.mlp.dense_4h_to_h	mse	0.02653198316693306	0.025016851723194122	0.024609696120023727
bloom-560m/23.mlp.dense_h_to_4h	mse	0.3819694221019745	0.12325965613126755	0.1165262907743454
bloom-560m/23.self_attention.dense	mse	0.010952427983283997	0.010227140039205551	0.010125940665602684
bloom-560m/23.self_attention.query_key_value	mse	0.16389714181423187	0.12675420939922333	0.12138033658266068
bloom-560m/3.mlp.dense_4h_to_h	mse	0.006810733117163181	0.00619641225785017	0.006129460409283638
bloom-560m/3.mlp.dense_h_to_4h	mse	0.13633854687213898	0.13176758587360382	0.12356090545654297
bloom-560m/3.self_attention.dense	mse	0.0022499363403767347	0.0018263510428369045	0.0017986723687499762
bloom-560m/3.self_attention.query_key_value	mse	0.13088801503181458	0.12884436547756195	0.12811659276485443
bloom-560m/4.mlp.dense_4h_to_h	mse	0.06320464611053467	0.06268806755542755	0.06214260309934616
bloom-560m/4.mlp.dense_h_to_4h	mse	0.12017898261547089	0.11710786819458008	0.11149520426988602
bloom-560m/4.self_attention.dense	mse	0.0021887270268052816	0.001742919790558517	0.0017216864507645369
bloom-560m/4.self_attention.query_key_value	mse	0.1352074146270752	0.12977862358093262	0.12895549833774567
bloom-560m/5.mlp.dense_4h_to_h	mse	0.007658330257982016	0.007250806782394648	0.007180850952863693
bloom-560m/5.mlp.dense_h_to_4h	mse	0.09809760749340057	0.09537710249423981	0.09155930578708649
bloom-560m/5.self_attention.dense	mse	0.002563572721555829	0.001959926215931773	0.0019384697079658508
bloom-560m/5.self_attention.query_key_value	mse	0.17324495315551758	0.15657664835453033	0.15459208190441132
bloom-560m/6.mlp.dense_4h_to_h	mse	0.006976254750043154	0.006736869923770428	0.006673681549727917
bloom-560m/6.mlp.dense_h_to_4h	mse	0.11936026066541672	0.11465612053871155	0.10937878489494324
bloom-560m/6.self_attention.dense	mse	0.0027895858511328697	0.0027482789009809494	0.002724788151681423
bloom-560m/6.self_attention.query_key_value	mse	0.2754334509372711	0.24007348716259003	0.23362821340560913
bloom-560m/7.mlp.dense_4h_to_h	mse	0.0058143893256783485	0.005369097925722599	0.0052649034187197685
bloom-560m/7.mlp.dense_h_to_4h	mse	0.06752751767635345	0.06421945989131927	0.06141619384288788
bloom-560m/7.self_attention.dense	mse	0.0024902811273932457	0.002129453234374523	0.0020997077226638794
bloom-560m/7.self_attention.query_key_value	mse	0.28244104981422424	0.22801096737384796	0.2178952693939209
bloom-560m/8.mlp.dense_4h_to_h	mse	0.005813957192003727	0.005050326231867075	0.004964053630828857
bloom-560m/8.mlp.dense_h_to_4h	mse	0.049012839794158936	0.04622768610715866	0.04426983743906021
bloom-560m/8.self_attention.dense	mse	0.00240566348657012	0.0023745177313685417	0.002349316142499447
bloom-560m/8.self_attention.query_key_value	mse	0.5046119689941406	0.38131144642829895	0.3540906608104706
bloom-560m/9.mlp.dense_4h_to_h	mse	0.005621066316962242	0.004612559452652931	0.004520677030086517
bloom-560m/9.mlp.dense_h_to_4h	mse	0.04063021391630173	0.037686437368392944	0.03615843504667282
bloom-560m/9.self_attention.dense	mse	0.0025484899524599314	0.0025144461542367935	0.0025040162727236748
bloom-560m/9.self_attention.query_key_value	mse	0.6274037957191467	0.45313119888305664	0.42471835017204285
opt-125m/0.fc1	mse	0.004431982059031725	0.0031977456528693438	0.003016456263139844
opt-125m/0.fc2	mse	0.011487309820950031	0.011455624364316463	0.011420541442930698
opt-125m/0.self_attn.k_proj	mse	0.6866617202758789	0.6642494797706604	0.6729372143745422
opt-125m/0.self_attn.out_proj	mse	0.0003118788299616426	0.00012431519280653447	0.00012117946607759222
opt-125m/0.self_attn.q_proj	mse	0.4478018283843994	0.4226709306240082	0.42183342576026917
opt-125m/0.self_attn.v_proj	mse	0.003959957510232925	0.0038147252053022385	0.0037423090543597937
opt-125m/1.fc1	mse	0.009006244130432606	0.008265859447419643	0.00783103983849287
opt-125m/1.fc2	mse	0.0016693630022928119	0.0016671880148351192	0.0016541210934519768
opt-125m/1.self_attn.k_proj	mse	0.5965722799301147	0.5713135600090027	0.5752498507499695
