Data	Standard	Sleekit
bloom-560m/23.mlp.dense_4h_to_h	0.01490714680403471	0.009479347616434097
bloom-560m/23.mlp.dense_h_to_4h	0.12100633233785629	0.03490880876779556
bloom-560m/23.self_attention.dense	0.0038917125202715397	0.003901805030182004
bloom-560m/23.self_attention.query_key_value	0.03782173618674278	0.034514106810092926
bloom-560m/3.mlp.dense_4h_to_h	0.002200101502239704	0.0021745488047599792
bloom-560m/3.mlp.dense_h_to_4h	0.03550203517079353	0.035246483981609344
bloom-560m/3.self_attention.dense	0.0007476705359295011	0.0005290796980261803
bloom-560m/3.self_attention.query_key_value	0.0355270616710186	0.034950222820043564
bloom-560m/4.mlp.dense_4h_to_h	0.06200293079018593	0.02850310318171978
bloom-560m/4.mlp.dense_h_to_4h	0.033416926860809326	0.033000439405441284
bloom-560m/4.self_attention.dense	0.0006957039004191756	0.000537429004907608
bloom-560m/4.self_attention.query_key_value	0.03709142655134201	0.03535332903265953
bloom-560m/5.mlp.dense_4h_to_h	0.0031532119028270245	0.0031087850220501423
bloom-560m/5.mlp.dense_h_to_4h	0.026725074276328087	0.026507727801799774
bloom-560m/5.self_attention.dense	0.0007615226204507053	0.0005802639643661678
bloom-560m/5.self_attention.query_key_value	0.045954037457704544	0.04073278605937958
bloom-560m/6.mlp.dense_4h_to_h	0.0029492005705833435	0.002668359549716115
bloom-560m/6.mlp.dense_h_to_4h	0.03131965175271034	0.03125034272670746
bloom-560m/6.self_attention.dense	0.0008501429692842066	0.0008603164460510015
bloom-560m/6.self_attention.query_key_value	0.07054320722818375	0.05278012156486511
bloom-560m/7.mlp.dense_4h_to_h	0.0021813209168612957	0.0019185433629900217
bloom-560m/7.mlp.dense_h_to_4h	0.019275184720754623	0.018126387149095535
bloom-560m/7.self_attention.dense	0.0007320200093090534	0.0006431901128962636
bloom-560m/7.self_attention.query_key_value	0.07312420755624771	0.04924124851822853
bloom-560m/8.mlp.dense_4h_to_h	0.0018715648911893368	0.001316284411586821
