Data	Scaling	GPTQ	GPTQ+BiasCorrection	GPTQWithBiasCorrection
bloom-560m/22.mlp.dense_h_to_4h	mse	0.09098872542381287	0.068231001496315	0.06694026291370392
bloom-560m/22.self_attention.dense	mse	0.021811308339238167	0.013723739422857761	0.011254768818616867
bloom-560m/22.self_attention.query_key_value	mse	1.1854323148727417	0.3522397577762604	0.3388291895389557
bloom-560m/23.mlp.dense_4h_to_h	mse	0.016686011105775833	0.01652798429131508	0.015805507078766823
bloom-560m/23.mlp.dense_h_to_4h	mse	0.09655289351940155	0.0582817941904068	0.05640149116516113
bloom-560m/23.self_attention.dense	mse	0.002522852038964629	0.0024974592961370945	0.002462347038090229
bloom-560m/23.self_attention.query_key_value	mse	0.0694536417722702	0.058403003960847855	0.05920970067381859
bloom-560m/3.mlp.dense_4h_to_h	mse	0.0030924107413738966	0.0030806083232164383	0.0030467952601611614
bloom-560m/3.mlp.dense_h_to_4h	mse	0.06069282442331314	0.06028186157345772	0.05908443406224251
bloom-560m/3.self_attention.dense	mse	0.0008473811321891844	0.0007773767574690282	0.0007733055390417576
bloom-560m/3.self_attention.query_key_value	mse	0.06003139913082123	0.059702515602111816	0.05908052623271942
bloom-560m/4.mlp.dense_4h_to_h	mse	0.0041902754455804825	0.004163801670074463	0.00406716950237751
bloom-560m/4.mlp.dense_h_to_4h	mse	0.05644091218709946	0.05594928562641144	0.053526803851127625
bloom-560m/4.self_attention.dense	mse	0.0007711010985076427	0.0007480423664674163	0.0007330525550059974
bloom-560m/4.self_attention.query_key_value	mse	0.0621456615626812	0.06071716919541359	0.06000161170959473
bloom-560m/5.mlp.dense_4h_to_h	mse	0.003339467104524374	0.0032901777885854244	0.0032421890646219254
bloom-560m/5.mlp.dense_h_to_4h	mse	0.04455394297838211	0.04407501965761185	0.04329682141542435
bloom-560m/5.self_attention.dense	mse	0.0009609612752683461	0.0009442875161767006	0.0009295385098084807
bloom-560m/5.self_attention.query_key_value	mse	0.07802573591470718	0.0717824175953865	0.07117940485477448
bloom-560m/6.mlp.dense_4h_to_h	mse	0.0031467117369174957	0.0031262363772839308	0.003119267523288727
bloom-560m/6.mlp.dense_h_to_4h	mse	0.052465785294771194	0.05197243392467499	0.051798418164253235
bloom-560m/6.self_attention.dense	mse	0.0013651399640366435	0.001360034104436636	0.00134615832939744
bloom-560m/6.self_attention.query_key_value	mse	0.11133194714784622	0.10236033797264099	0.10542049258947372
bloom-560m/7.mlp.dense_4h_to_h	mse	0.0025760987773537636	0.00251561775803566	0.0024897288531064987
bloom-560m/7.mlp.dense_h_to_4h	mse	0.031170327216386795	0.030772805213928223	0.02905382215976715
bloom-560m/7.self_attention.dense	mse	0.001095527084544301	0.0010371634270995855	0.0010234732180833817
bloom-560m/7.self_attention.query_key_value	mse	0.11609915643930435	0.10123328119516373	0.10403204709291458
bloom-560m/8.mlp.dense_4h_to_h	mse	0.0021074789110571146	0.002069279318675399	0.002060513012111187
bloom-560m/8.mlp.dense_h_to_4h	mse	0.022868333384394646	0.022536464035511017	0.02120216377079487
bloom-560m/8.self_attention.dense	mse	0.0011790323769673705	0.0011749231489375234	0.0011684632627293468
bloom-560m/8.self_attention.query_key_value	mse	0.24937216937541962	0.19320684671401978	0.1938285082578659
bloom-560m/9.mlp.dense_4h_to_h	mse	0.0018431484932079911	0.0018038356211036444	0.0017871910240501165
bloom-560m/9.mlp.dense_h_to_4h	mse	0.01716773584485054	0.016609199345111847	0.01629849523305893
bloom-560m/9.self_attention.dense	mse	0.0012305483687669039	0.0012274731416255236	0.0012202956713736057
bloom-560m/9.self_attention.query_key_value	mse	0.3490363657474518	0.26554426550865173	0.2578730881214142
opt-125m/0.fc1	mse	0.001535665593110025	0.0014019642258062959	0.0015390397747978568
opt-125m/0.fc2	mse	0.00017353566363453865	0.00016368500655516982	0.00014847467537038028
opt-125m/0.self_attn.k_proj	mse	0.4273325502872467	0.4179514944553375	0.4692319333553314
opt-125m/0.self_attn.out_proj	mse	3.2067637221189216e-05	2.8488488169386983e-05	2.7643516659736633e-05
opt-125m/0.self_attn.q_proj	mse	0.25403526425361633	0.24473507702350616	0.28353551030158997
opt-125m/0.self_attn.v_proj	mse	0.0020801995415240526	0.0020173790398985147	0.0021688691340386868
opt-125m/1.fc1	mse	0.0039876713417470455	0.0038564063142985106	0.0037009723018854856
opt-125m/1.fc2	mse	0.00010016522719524801	9.750050958245993e-05	9.473151294514537e-05
opt-125m/1.self_attn.k_proj	mse	0.3638248145580292	0.35132265090942383	0.3596808910369873
opt-125m/1.self_attn.out_proj	mse	2.295004560437519e-05	2.278207102790475e-05	2.22756734729046e-05
opt-125m/1.self_attn.q_proj	mse	0.16864240169525146	0.15256379544734955	0.15838979184627533
opt-125m/1.self_attn.v_proj	mse	0.0021736205089837313	0.0021563854534178972	0.0022499626502394676
opt-125m/10.fc1	mse	0.014476601965725422	0.012580853886902332	0.01353942696005106
opt-125m/10.fc2	mse	0.001670932862907648	0.0016678478568792343	0.001657741260714829
opt-125m/10.self_attn.k_proj	mse	0.6850089430809021	0.6625044345855713	0.6835865378379822
opt-125m/10.self_attn.out_proj	mse	0.0005904810968786478	0.0005884377169422805	0.000585088855586946
opt-125m/10.self_attn.q_proj	mse	0.3670075833797455	0.3450721800327301	0.36230364441871643
opt-125m/10.self_attn.v_proj	mse	0.019644716754555702	0.019557971507310867	0.01972644031047821
opt-125m/11.fc1	mse	0.025081897154450417	0.014760986901819706	0.016096601262688637
opt-125m/11.fc2	mse	0.0025130959693342447	0.0024951661471277475	0.0023150851484388113
opt-125m/11.self_attn.k_proj	mse	0.2771836519241333	0.2682483494281769	0.2993275821208954
opt-125m/11.self_attn.out_proj	mse	0.0012386093148961663	0.001224789535626769	0.0012242954690009356
opt-125m/11.self_attn.q_proj	mse	0.15302330255508423	0.14614705741405487	0.15955613553524017
opt-125m/11.self_attn.v_proj	mse	0.025387192144989967	0.02523425780236721	0.025705108419060707
opt-125m/2.fc1	mse	0.006403973326086998	0.004076685290783644	0.0043931580148637295
opt-125m/2.fc2	mse	9.692773892311379e-05	9.608684194972739e-05	9.531566320220008e-05
