Data	Scaling	Diag	DiagErr	DiagSqErr
opt-350m/16.self_attn.v_proj	mse	0.09144461154937744	0.09071356058120728	0.08960706740617752
opt-350m/17.fc1	mse	0.0876193717122078	0.08744572103023529	0.08726032078266144
opt-350m/17.fc2	mse	0.009219842031598091	0.009145999327301979	0.009075259789824486
opt-350m/17.self_attn.k_proj	mse	0.12769222259521484	0.12675565481185913	0.1252783238887787
opt-350m/17.self_attn.out_proj	mse	0.0029728668741881847	0.002982491860166192	0.0029891994781792164
opt-350m/17.self_attn.q_proj	mse	0.12751132249832153	0.1270451545715332	0.12646716833114624
opt-350m/17.self_attn.v_proj	mse	0.08622575551271439	0.08551241457462311	0.0843607634305954
opt-350m/18.fc1	mse	0.08398313820362091	0.08384276926517487	0.08376885950565338
opt-350m/18.fc2	mse	0.008152463473379612	0.00809372030198574	0.008035923354327679
opt-350m/18.self_attn.k_proj	mse	0.12649062275886536	0.12560638785362244	0.12444648146629333
opt-350m/18.self_attn.out_proj	mse	0.00212949700653553	0.0021197497844696045	0.002113708760589361
opt-350m/18.self_attn.q_proj	mse	0.1443295180797577	0.14395363628864288	0.14408835768699646
opt-350m/18.self_attn.v_proj	mse	0.08311091363430023	0.08219446241855621	0.08105948567390442
opt-350m/19.fc1	mse	0.08261512219905853	0.08244284987449646	0.08227571099996567
opt-350m/19.fc2	mse	0.00775538943707943	0.007696034386754036	0.0076379431411623955
opt-350m/19.self_attn.k_proj	mse	0.14708033204078674	0.14621642231941223	0.14542312920093536
opt-350m/19.self_attn.out_proj	mse	0.0024658297188580036	0.0024621463380753994	0.002451798180118203
opt-350m/19.self_attn.q_proj	mse	0.18534252047538757	0.18540728092193604	0.18628308176994324
opt-350m/19.self_attn.v_proj	mse	0.0706338882446289	0.0698920264840126	0.06904672086238861
opt-350m/2.fc1	mse	0.06548422574996948	0.0651702880859375	0.06469661742448807
opt-350m/2.fc2	mse	0.003777018515393138	0.003771614283323288	0.0037705940194427967
opt-350m/2.self_attn.k_proj	mse	0.12200196087360382	0.11947894096374512	0.11736223101615906
opt-350m/2.self_attn.out_proj	mse	0.0008410236332565546	0.0008371551521122456	0.000830743694677949
opt-350m/2.self_attn.q_proj	mse	0.10198270529508591	0.10210441052913666	0.10247860848903656
opt-350m/2.self_attn.v_proj	mse	0.03964029252529144	0.03888722509145737	0.037234365940093994
opt-350m/20.fc1	mse	0.08113248646259308	0.08087758719921112	0.08056530356407166
opt-350m/20.fc2	mse	0.008107397705316544	0.008025848306715488	0.007945292629301548
opt-350m/20.self_attn.k_proj	mse	0.24524109065532684	0.24034720659255981	0.23781335353851318
opt-350m/20.self_attn.out_proj	mse	0.002974109258502722	0.0029628558550029993	0.0029449965804815292
opt-350m/20.self_attn.q_proj	mse	0.21855223178863525	0.21735985577106476	0.22072501480579376
opt-350m/20.self_attn.v_proj	mse	0.06444990634918213	0.06357459723949432	0.0628252699971199
opt-350m/21.fc1	mse	0.08298354595899582	0.08262091875076294	0.0822104960680008
opt-350m/21.fc2	mse	0.008876774460077286	0.008755541406571865	0.008620457723736763
opt-350m/21.self_attn.k_proj	mse	0.2777111530303955	0.2678246796131134	0.26353389024734497
opt-350m/21.self_attn.out_proj	mse	0.002692141570150852	0.0026855007745325565	0.0026685879565775394
opt-350m/21.self_attn.q_proj	mse	0.2030048966407776	0.20097365975379944	0.20187348127365112
opt-350m/21.self_attn.v_proj	mse	0.06372980773448944	0.06289295852184296	0.062206465750932693
opt-350m/22.fc1	mse	0.07857508212327957	0.07810603827238083	0.07751460373401642
opt-350m/22.fc2	mse	0.010245404206216335	0.010070230811834335	0.009870750829577446
opt-350m/22.self_attn.k_proj	mse	0.3982164263725281	0.3648894131183624	0.35587620735168457
opt-350m/22.self_attn.out_proj	mse	0.0050699105486273766	0.0050116172060370445	0.004982906859368086
opt-350m/22.self_attn.q_proj	mse	0.17338263988494873	0.17096830904483795	0.16903670132160187
opt-350m/22.self_attn.v_proj	mse	0.06662029027938843	0.06617581844329834	0.06547386944293976
opt-350m/23.fc1	mse	0.07069583237171173	0.06944440305233002	0.06847512722015381
opt-350m/23.fc2	mse	0.008535897359251976	0.008426472544670105	0.00833091139793396
opt-350m/23.self_attn.k_proj	mse	0.15975113213062286	0.15234392881393433	0.15002621710300446
opt-350m/23.self_attn.out_proj	mse	0.0070472294464707375	0.006986566353589296	0.006799257360398769
opt-350m/23.self_attn.q_proj	mse	0.12691962718963623	0.1247340589761734	0.12318351864814758
opt-350m/23.self_attn.v_proj	mse	0.08750548958778381	0.08667619526386261	0.08574017882347107
opt-350m/3.fc1	mse	0.06655530631542206	0.06629088521003723	0.06592273712158203
opt-350m/3.fc2	mse	0.0038931844756007195	0.0038851085118949413	0.0038750949315726757
opt-350m/3.self_attn.k_proj	mse	0.1276521384716034	0.12634912133216858	0.1233324185013771
opt-350m/3.self_attn.out_proj	mse	0.0008853795006871223	0.0008847939316183329	0.000888130976818502
opt-350m/3.self_attn.q_proj	mse	0.1273052841424942	0.12736746668815613	0.12748056650161743
opt-350m/3.self_attn.v_proj	mse	0.046028025448322296	0.04527728259563446	0.04370510205626488
opt-350m/4.fc1	mse	0.06895210593938828	0.06868277490139008	0.06846285611391068
opt-350m/4.fc2	mse	0.0044101532548666	0.00439952127635479	0.004397498443722725
opt-350m/4.self_attn.k_proj	mse	0.15703916549682617	0.15471968054771423	0.15028484165668488
opt-350m/4.self_attn.out_proj	mse	0.0010834098793566227	0.0010786415077745914	0.001068169018253684
opt-350m/4.self_attn.q_proj	mse	0.13174812495708466	0.13205952942371368	0.13153991103172302
opt-350m/4.self_attn.v_proj	mse	0.04476321116089821	0.04420121759176254	0.04307754710316658
opt-350m/5.fc1	mse	0.0718759149312973	0.07162335515022278	0.07148823887109756
opt-350m/5.fc2	mse	0.004406169056892395	0.004393362905830145	0.004381401464343071
opt-350m/5.self_attn.k_proj	mse	0.19575583934783936	0.19237785041332245	0.1869957596063614
opt-350m/5.self_attn.out_proj	mse	0.0009099568706005812	0.0009044167236424983	0.0008986216271296144
opt-350m/5.self_attn.q_proj	mse	0.22059161961078644	0.21969370543956757	0.21964584290981293
opt-350m/5.self_attn.v_proj	mse	0.04356981813907623	0.042854078114032745	0.041653357446193695
opt-350m/6.fc1	mse	0.07608036696910858	0.07597032189369202	0.07578806579113007
opt-350m/6.fc2	mse	0.005225254222750664	0.0051999446004629135	0.005177031271159649
opt-350m/6.self_attn.k_proj	mse	0.3166651725769043	0.3054163455963135	0.29487890005111694
opt-350m/6.self_attn.out_proj	mse	0.0014267177321016788	0.001421246211975813	0.001411454752087593
opt-350m/6.self_attn.q_proj	mse	0.24889329075813293	0.24432337284088135	0.24450597167015076
opt-350m/6.self_attn.v_proj	mse	0.03823572397232056	0.03778011351823807	0.03692591190338135
opt-350m/7.fc1	mse	0.08223786950111389	0.0820639431476593	0.08187443763017654
opt-350m/7.fc2	mse	0.006488775834441185	0.006421559955924749	0.006361768580973148
opt-350m/7.self_attn.k_proj	mse	0.28099578619003296	0.2725693881511688	0.26695501804351807
opt-350m/7.self_attn.out_proj	mse	0.002066644374281168	0.002053395612165332	0.0020401235669851303
opt-350m/7.self_attn.q_proj	mse	0.19589510560035706	0.19467999041080475	0.19606250524520874
opt-350m/7.self_attn.v_proj	mse	0.04319492727518082	0.042729854583740234	0.04204147309064865
opt-350m/8.fc1	mse	0.08286792784929276	0.08265772461891174	0.08238852024078369
opt-350m/8.fc2	mse	0.008213498629629612	0.00811968743801117	0.008030303753912449
opt-350m/8.self_attn.k_proj	mse	0.22809016704559326	0.22375759482383728	0.21913506090641022
opt-350m/8.self_attn.out_proj	mse	0.0029226457700133324	0.0029192043002694845	0.0029146545566618443
opt-350m/8.self_attn.q_proj	mse	0.16582661867141724	0.1659006029367447	0.16717523336410522
opt-350m/8.self_attn.v_proj	mse	0.04637458920478821	0.04603154584765434	0.045389339327812195
opt-350m/9.fc1	mse	0.08367321640253067	0.08345462381839752	0.08314378559589386
opt-350m/9.fc2	mse	0.008321978151798248	0.008210454136133194	0.008118469268083572
opt-350m/9.self_attn.k_proj	mse	0.17986075580120087	0.17804202437400818	0.17701967060565948
opt-350m/9.self_attn.out_proj	mse	0.003241550177335739	0.003238165285438299	0.003225460648536682
opt-350m/9.self_attn.q_proj	mse	0.1360187530517578	0.1353340744972229	0.13422857224941254
opt-350m/9.self_attn.v_proj	mse	0.051360078155994415	0.050965193659067154	0.05035606026649475
